task_id,fix_mode_attempt_count,status
1,10,fail
3,0,pass
5,10,fail
13,10,pass
15,0,pass
25,0,pass
26,10,fail
29,0,pass
31,10,fail
33,10,fail
34,1,pass
36,10,fail
38,4,pass
39,9,pass
47,5,pass
48,0,pass
57,1,pass
60,10,fail
61,1,pass
66,0,pass
67,3,pass
70,5,pass
73,4,pass
75,2,pass
77,10,fail
81,10,fail
82,0,pass
83,10,fail
85,0,pass
87,5,pass
92,0,pass
99,0,pass
101,1,pass
102,1,pass
104,0,pass
105,0,pass
107,10,fail
108,10,fail
109,0,pass
110,10,fail
114,3,pass
117,5,pass
118,1,pass
119,10,fail
121,1,pass
122,10,fail
123,0,pass
124,10,fail
125,0,pass
126,0,pass
134,10,fail
136,10,fail
138,10,fail
139,10,fail
140,10,fail
142,10,fail
143,10,fail
144,0,pass
145,0,pass
147,3,pass
148,10,fail
149,1,pass
150,10,fail
153,0,pass
158,10,fail
159,10,fail
160,5,pass
164,0,pass
166,0,pass
175,0,pass
177,1,pass
180,10,fail
183,6,pass
184,10,pass
185,0,pass
188,10,fail
189,1,pass
190,1,pass
194,0,pass
195,1,pass
198,10,fail
205,10,fail
211,4,pass
216,10,fail
217,2,pass
219,10,fail
220,3,pass
223,8,pass
225,0,pass
228,10,fail
229,9,pass
233,10,fail
235,4,pass
236,10,fail
239,10,fail
241,0,pass
245,0,pass
249,0,pass
254,10,fail
260,10,fail
268,3,pass
270,1,pass
275,10,fail
276,10,fail
279,0,pass
286,0,pass
288,1,pass
289,10,fail
290,3,pass
293,0,pass
301,4,pass
303,10,fail
304,10,fail
305,5,pass
306,10,fail
310,10,fail
312,10,fail
313,10,fail
315,1,pass
317,1,pass
321,3,pass
323,1,pass
328,10,fail
329,0,pass
339,10,fail
342,6,pass
343,0,pass
344,0,pass
346,10,fail
347,0,pass
348,4,pass
351,10,fail
354,0,pass
355,10,fail
359,1,pass
367,10,fail
371,0,pass
374,10,fail
376,6,pass
380,1,pass
384,0,pass
395,0,pass
402,10,fail
408,0,pass
411,1,pass
412,1,pass
418,1,pass
427,0,pass
428,3,pass
429,10,fail
430,10,fail
433,10,fail
436,9,pass
437,4,pass
438,10,fail
440,10,fail
443,10,fail
444,10,fail
449,1,pass
452,0,pass
453,0,pass
454,1,pass
457,0,pass
461,10,fail
462,10,fail
466,4,pass
468,1,pass
471,8,pass
480,0,pass
481,1,pass
482,2,pass
483,10,fail
484,3,pass
485,1,pass
486,0,pass
489,1,pass
490,10,fail
493,10,fail
494,2,pass
497,0,pass
500,4,pass
501,5,pass
509,0,pass
510,10,fail
511,10,fail
515,8,pass
516,0,pass
518,2,pass
521,1,pass
522,0,pass
523,10,fail
526,0,pass
527,1,pass
528,10,fail
529,7,pass
531,1,pass
534,10,fail
535,10,fail
537,2,pass
538,10,fail
540,1,pass
544,2,pass
546,10,fail
550,10,fail
552,3,pass
556,0,pass
558,2,pass
559,1,pass
560,0,pass
561,10,fail
564,5,pass
570,10,fail
571,10,fail
572,3,pass
574,10,fail
575,10,fail
584,1,pass
590,10,fail
592,1,pass
593,0,pass
594,1,pass
595,1,pass
596,10,fail
597,10,fail
601,10,fail
602,2,pass
603,10,fail
605,0,pass
608,4,pass
609,10,fail
612,10,fail
615,10,fail
617,10,fail
620,0,pass
622,0,pass
626,8,pass
627,4,pass
628,0,pass
630,10,fail
633,1,pass
638,10,fail
639,0,pass
640,7,pass
642,3,pass
643,2,pass
646,5,pass
649,0,pass
650,1,pass
652,10,fail
653,1,pass
660,5,pass
661,10,fail
663,6,pass
665,0,pass
671,4,pass
675,0,pass
678,0,pass
683,0,pass
684,10,fail
686,2,pass
689,1,pass
692,0,pass
699,9,pass
702,10,fail
706,10,fail
709,3,pass
712,10,fail
714,10,fail
721,10,fail
731,8,pass
733,0,pass
734,1,pass
743,10,fail
746,10,fail
748,2,pass
751,1,pass
754,10,fail
757,3,pass
759,0,pass
761,10,fail
763,0,pass
765,2,pass
766,0,pass
767,3,pass
771,0,pass
775,1,pass
776,0,pass
777,10,fail
784,0,pass
790,1,pass
793,2,pass
794,1,pass
797,0,pass
802,10,fail
804,1,pass
806,0,pass
812,10,fail
815,10,fail
822,0,pass
823,1,pass
824,1,pass
826,10,fail
829,0,pass
831,1,pass
838,10,fail
840,3,pass
842,2,pass
844,10,fail
846,0,pass
851,10,fail
856,5,pass
859,10,fail
860,2,pass
863,4,pass
867,10,fail
880,10,pass
882,10,fail
884,10,fail
889,0,pass
891,0,pass
898,10,pass
899,4,pass
903,0,pass
907,10,fail
908,1,pass
910,10,fail
912,10,fail
915,10,fail
916,10,fail
917,3,pass
918,5,pass
920,1,pass
922,3,pass
926,10,fail
927,10,fail
928,0,pass
933,0,pass
936,10,fail
937,1,pass
938,10,fail
939,3,pass
948,0,pass
949,4,pass
950,10,fail
953,2,pass
956,1,pass
960,10,fail
962,0,pass
963,8,pass
965,0,pass
968,10,fail
969,0,pass
971,4,pass
973,0,pass
