problem_id,library,fix_mode_attempt_count,status
0,Pandas,0,pass
1,Pandas,5,fail
2,Pandas,0,pass
3,Pandas,5,fail
4,Pandas,5,fail
5,Pandas,0,pass
6,Pandas,5,fail
7,Pandas,5,fail
8,Pandas,0,pass
9,Pandas,5,fail
10,Pandas,5,fail
11,Pandas,1,pass
12,Pandas,5,fail
13,Pandas,5,fail
14,Pandas,5,fail
15,Pandas,5,fail
16,Pandas,1,pass
17,Pandas,5,fail
18,Pandas,5,fail
19,Pandas,5,fail
20,Pandas,0,pass
21,Pandas,0,pass
22,Pandas,0,pass
23,Pandas,0,pass
24,Pandas,0,pass
25,Pandas,5,fail
26,Pandas,0,pass
27,Pandas,5,fail
28,Pandas,5,fail
29,Pandas,5,fail
30,Pandas,0,pass
31,Pandas,0,pass
32,Pandas,5,fail
33,Pandas,0,pass
34,Pandas,0,pass
35,Pandas,5,fail
36,Pandas,0,pass
37,Pandas,0,pass
38,Pandas,0,pass
39,Pandas,5,fail
40,Pandas,5,fail
41,Pandas,5,fail
42,Pandas,5,fail
43,Pandas,5,fail
44,Pandas,5,fail
45,Pandas,5,fail
46,Pandas,5,fail
47,Pandas,0,pass
48,Pandas,5,fail
49,Pandas,0,pass
50,Pandas,0,pass
51,Pandas,0,pass
52,Pandas,0,pass
53,Pandas,0,pass
54,Pandas,5,fail
55,Pandas,5,fail
56,Pandas,0,pass
57,Pandas,5,fail
58,Pandas,5,fail
59,Pandas,5,fail
60,Pandas,5,fail
61,Pandas,0,pass
62,Pandas,5,fail
63,Pandas,5,fail
64,Pandas,0,pass
65,Pandas,5,fail
66,Pandas,5,fail
67,Pandas,5,fail
68,Pandas,5,fail
69,Pandas,5,fail
70,Pandas,5,fail
71,Pandas,5,fail
72,Pandas,5,fail
73,Pandas,5,fail
74,Pandas,5,fail
75,Pandas,5,fail
76,Pandas,5,fail
77,Pandas,0,pass
78,Pandas,0,pass
79,Pandas,5,fail
80,Pandas,0,pass
81,Pandas,5,fail
82,Pandas,0,pass
83,Pandas,1,pass
84,Pandas,0,pass
85,Pandas,5,fail
86,Pandas,5,fail
87,Pandas,5,fail
88,Pandas,5,fail
89,Pandas,5,fail
90,Pandas,5,fail
91,Pandas,5,fail
92,Pandas,0,pass
93,Pandas,5,fail
94,Pandas,5,fail
95,Pandas,5,fail
96,Pandas,5,fail
97,Pandas,5,fail
98,Pandas,5,fail
99,Pandas,5,fail
100,Pandas,5,fail
101,Pandas,0,pass
102,Pandas,5,fail
103,Pandas,5,fail
104,Pandas,5,fail
105,Pandas,5,fail
106,Pandas,5,fail
107,Pandas,5,fail
108,Pandas,5,fail
109,Pandas,5,fail
110,Pandas,0,pass
111,Pandas,0,pass
112,Pandas,5,fail
113,Pandas,5,fail
114,Pandas,5,fail
115,Pandas,0,pass
116,Pandas,5,fail
117,Pandas,0,pass
118,Pandas,0,pass
119,Pandas,0,pass
120,Pandas,5,fail
121,Pandas,5,fail
122,Pandas,5,fail
123,Pandas,5,fail
124,Pandas,5,fail
125,Pandas,0,pass
126,Pandas,5,fail
127,Pandas,5,fail
128,Pandas,5,fail
129,Pandas,5,fail
130,Pandas,5,fail
131,Pandas,5,fail
132,Pandas,5,fail
133,Pandas,5,fail
134,Pandas,5,fail
135,Pandas,0,pass
136,Pandas,5,fail
137,Pandas,5,fail
138,Pandas,5,fail
139,Pandas,0,pass
140,Pandas,0,pass
141,Pandas,5,fail
142,Pandas,5,fail
143,Pandas,0,pass
144,Pandas,0,pass
145,Pandas,0,pass
146,Pandas,0,pass
147,Pandas,5,fail
148,Pandas,5,fail
149,Pandas,5,fail
150,Pandas,0,pass
151,Pandas,5,fail
152,Pandas,0,pass
153,Pandas,5,fail
154,Pandas,5,fail
155,Pandas,5,fail
156,Pandas,0,pass
157,Pandas,0,pass
158,Pandas,5,fail
159,Pandas,5,fail
160,Pandas,0,pass
161,Pandas,5,fail
162,Pandas,0,pass
163,Pandas,5,fail
164,Pandas,5,fail
165,Pandas,5,fail
166,Pandas,5,fail
167,Pandas,5,fail
168,Pandas,0,pass
169,Pandas,0,pass
170,Pandas,0,pass
171,Pandas,5,fail
172,Pandas,5,fail
173,Pandas,5,fail
174,Pandas,5,fail
175,Pandas,0,pass
176,Pandas,0,pass
177,Pandas,0,pass
178,Pandas,5,fail
179,Pandas,5,fail
180,Pandas,0,pass
181,Pandas,0,pass
182,Pandas,0,pass
183,Pandas,5,fail
184,Pandas,5,fail
185,Pandas,0,pass
186,Pandas,0,pass
187,Pandas,5,fail
188,Pandas,5,fail
189,Pandas,0,pass
190,Pandas,0,pass
191,Pandas,0,pass
192,Pandas,0,pass
193,Pandas,0,pass
194,Pandas,5,fail
195,Pandas,5,fail
196,Pandas,5,fail
197,Pandas,5,fail
198,Pandas,5,fail
199,Pandas,5,fail
200,Pandas,5,fail
201,Pandas,5,fail
202,Pandas,5,fail
203,Pandas,5,fail
204,Pandas,5,fail
205,Pandas,5,fail
206,Pandas,5,fail
207,Pandas,0,pass
208,Pandas,5,fail
209,Pandas,5,fail
210,Pandas,5,fail
211,Pandas,5,fail
212,Pandas,5,fail
213,Pandas,0,pass
214,Pandas,5,fail
215,Pandas,5,fail
216,Pandas,5,fail
217,Pandas,0,pass
218,Pandas,0,pass
219,Pandas,0,pass
220,Pandas,0,pass
221,Pandas,0,pass
222,Pandas,5,fail
223,Pandas,0,pass
224,Pandas,5,fail
225,Pandas,5,fail
226,Pandas,5,fail
227,Pandas,5,fail
228,Pandas,5,fail
229,Pandas,5,fail
230,Pandas,5,fail
231,Pandas,5,fail
232,Pandas,0,pass
233,Pandas,0,pass
234,Pandas,0,pass
235,Pandas,5,fail
236,Pandas,0,pass
237,Pandas,5,fail
238,Pandas,5,fail
239,Pandas,0,pass
240,Pandas,5,fail
241,Pandas,5,fail
242,Pandas,5,fail
243,Pandas,0,pass
244,Pandas,5,fail
245,Pandas,5,fail
246,Pandas,5,fail
247,Pandas,5,fail
248,Pandas,0,pass
249,Pandas,5,fail
250,Pandas,5,fail
