task_id,fix_mode_attempt_count,status
1,5,fail
2,1,pass
3,0,pass
4,0,pass
5,0,pass
6,0,pass
7,0,pass
8,0,pass
9,0,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,2,pass
15,1,pass
16,5,fail
17,0,pass
18,0,pass
19,0,pass
20,5,fail
21,0,pass
22,0,pass
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,0,pass
34,5,fail
35,4,pass
36,5,fail
37,5,fail
38,0,pass
39,5,fail
40,0,pass
41,0,pass
42,0,pass
43,5,fail
44,5,fail
45,0,pass
46,0,pass
47,4,pass
48,5,fail
49,0,pass
50,2,pass
51,1,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,1,pass
57,0,pass
58,0,pass
59,1,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,0,pass
65,0,pass
66,0,pass
67,0,pass
68,0,pass
69,0,pass
70,5,pass
71,0,pass
72,5,fail
73,5,fail
74,5,fail
75,4,pass
76,1,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,1,pass
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,5,fail
88,0,pass
89,1,pass
90,0,pass
91,0,pass
92,0,pass
93,0,pass
94,2,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,0,pass
102,1,pass
103,5,fail
104,0,pass
105,0,pass
106,0,pass
107,5,fail
108,1,pass
109,0,pass
110,5,fail
111,0,pass
112,5,fail
113,0,pass
114,5,fail
115,2,pass
116,0,pass
117,3,pass
118,0,pass
119,0,pass
120,0,pass
121,5,fail
122,5,fail
123,0,pass
124,5,fail
125,0,pass
126,5,fail
127,0,pass
128,0,pass
129,0,pass
130,1,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,4,pass
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,5,fail
143,5,pass
144,0,pass
145,0,pass
146,5,fail
147,3,pass
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,0,pass
155,5,fail
156,0,pass
157,1,pass
158,5,fail
159,5,fail
160,5,fail
161,0,pass
162,0,pass
163,0,pass
164,0,pass
165,0,pass
166,0,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,5,fail
173,0,pass
174,0,pass
175,5,fail
176,0,pass
177,3,pass
178,2,pass
179,0,pass
180,5,fail
181,0,pass
182,5,fail
183,4,pass
184,3,pass
185,5,fail
186,2,pass
187,3,pass
188,5,fail
189,0,pass
190,5,fail
191,0,pass
192,0,pass
193,0,pass
194,1,pass
195,5,fail
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,1,pass
204,0,pass
205,5,fail
206,1,pass
207,0,pass
208,0,pass
209,5,fail
210,0,pass
211,5,fail
212,0,pass
213,2,pass
214,0,pass
215,0,pass
216,1,pass
217,1,pass
218,5,fail
219,5,fail
220,0,pass
221,0,pass
222,0,pass
223,2,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,5,fail
