attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
18.64,7.83,2.87,1.45,1.51,0.11,0.11,0.44,0.0,0.56
23.18,7.63,3.52,2.47,1.48,0.11,0.44,0.33,0.89,0.78
23.48,5.4,3.18,2.3,1.23,0.78,0.78,0.33,1.0,0.67
15.3,6.57,4.56,2.38,1.63,0.33,0.78,0.11,0.67,0.22
20.25,7.47,2.79,1.4,1.78,1.0,0.11,0.67,0.89,1.0
24.39,9.04,2.65,2.55,1.39,0.33,0.11,0.44,1.0,0.22
20.56,5.51,2.82,2.83,1.94,0.33,0.89,0.89,0.0,0.89
25.0,7.47,4.54,2.42,1.3,1.0,0.89,1.0,1.0,0.11
24.29,6.31,4.13,1.54,1.35,0.0,0.44,0.11,0.0,0.22
23.79,5.96,4.88,1.9,1.78,0.78,0.78,0.67,0.56,0.22
17.63,9.04,4.18,2.71,2.0,0.89,0.67,0.44,0.89,0.33
20.76,7.22,3.57,2.95,1.31,0.56,0.44,0.33,0.0,0.89
23.28,5.61,3.55,2.23,1.85,0.78,0.44,1.0,1.0,0.89
24.19,10.0,4.76,1.3,1.47,0.56,0.56,0.22,0.11,0.0
24.49,8.33,3.96,1.51,1.5,0.33,0.56,1.0,0.44,0.67
16.72,6.06,4.81,1.94,1.3,0.89,0.0,0.44,0.78,0.56
18.74,7.17,4.52,1.45,1.8,0.44,0.0,0.67,1.0,0.67
23.18,7.37,3.79,2.28,1.36,0.0,0.0,0.56,0.44,1.0
24.49,8.43,3.59,1.51,1.67,0.44,0.67,0.11,0.22,0.44
21.77,9.29,4.13,1.59,1.98,0.67,0.33,0.11,0.33,1.0
19.75,9.09,4.64,2.67,1.37,0.67,0.67,1.0,0.56,0.56
25.0,6.31,4.03,1.69,1.73,0.11,0.11,0.56,0.22,0.67
23.99,7.42,3.11,1.37,1.74,0.67,0.33,0.56,0.0,0.89
19.04,8.89,3.42,2.23,1.43,0.22,1.0,0.56,0.78,0.11
18.74,8.84,3.76,2.97,1.88,0.0,0.11,0.78,1.0,0.56
22.17,5.05,2.89,2.45,1.31,0.78,0.89,0.56,1.0,0.67
20.76,7.63,4.03,1.63,1.56,0.22,0.0,0.78,0.67,0.44
17.22,7.22,4.44,1.87,1.58,0.11,0.0,0.11,0.78,0.78
15.51,8.33,4.35,2.23,1.54,0.33,0.33,0.89,0.11,0.11
17.32,5.05,3.86,1.33,1.64,0.89,0.33,0.0,0.89,0.56
25.0,9.49,2.94,1.88,1.44,0.11,0.11,0.11,0.56,0.33
19.95,10.0,4.88,2.02,1.96,0.33,1.0,0.89,0.33,0.33
22.98,8.08,3.45,1.37,1.44,0.89,1.0,0.22,0.44,0.33
24.09,8.13,3.5,1.82,1.54,0.78,0.78,0.0,0.67,0.33
24.8,5.81,4.47,1.85,1.32,0.78,0.67,0.78,0.67,0.78
19.75,7.93,4.54,1.54,1.36,0.11,1.0,0.44,1.0,0.11
19.75,9.19,4.15,1.61,1.63,0.22,0.11,0.89,0.67,0.67
22.68,6.06,3.47,1.47,1.36,1.0,0.67,0.67,1.0,1.0
22.07,5.81,4.03,1.63,1.52,0.78,0.33,0.56,0.78,0.67
24.19,5.2,4.22,2.26,1.98,0.67,0.78,0.89,0.67,0.67
24.49,8.18,4.18,2.26,1.94,0.11,0.0,0.33,0.44,0.89
19.14,9.09,2.67,1.95,1.32,1.0,0.56,1.0,0.89,0.67
23.69,5.3,3.01,1.52,1.4,0.0,0.0,0.0,0.78,0.78
20.66,8.48,3.55,1.32,1.52,1.0,0.67,0.11,1.0,0.89
23.08,6.21,3.18,2.07,1.86,0.89,0.89,0.0,0.0,0.67
15.61,9.9,3.16,1.64,1.81,0.22,0.44,0.33,0.11,0.33
18.94,8.99,2.84,2.43,1.41,0.33,1.0,0.67,0.22,0.67
24.7,7.17,4.9,2.23,1.64,0.78,0.56,0.11,0.44,0.33
21.67,7.93,2.79,1.49,1.9,1.0,0.0,0.44,0.33,1.0
21.87,9.19,3.01,2.38,1.24,0.67,0.56,0.56,0.11,0.11
23.28,8.64,4.85,1.9,1.87,0.33,0.11,0.33,0.33,0.22
22.27,8.89,4.59,1.94,1.77,0.44,1.0,0.89,0.56,0.0
23.59,9.14,2.89,2.31,1.26,0.67,1.0,0.56,0.44,0.22
23.59,7.58,3.16,1.44,1.26,0.89,1.0,0.89,0.33,0.11
25.0,5.71,4.68,2.86,1.43,0.89,0.44,0.67,0.78,0.44
17.22,5.76,2.7,1.54,1.56,0.33,0.56,0.33,0.78,0.56
19.95,8.08,4.49,1.82,1.57,0.22,0.56,0.44,0.22,0.11
18.84,8.08,3.16,2.59,1.83,0.89,0.78,0.11,0.67,0.22
19.75,9.6,4.15,2.69,1.91,0.33,0.33,0.56,0.11,0.11
22.37,6.52,3.91,1.61,1.61,0.89,0.0,1.0,0.11,0.33
17.53,9.44,4.98,2.28,1.95,0.67,0.56,1.0,0.56,0.78
19.75,8.38,4.01,3.0,1.35,0.89,0.89,0.56,0.22,0.22
20.35,6.16,4.9,2.07,1.22,1.0,0.78,0.78,0.11,0.11
24.6,7.98,3.98,2.35,1.66,0.33,0.67,0.11,0.78,0.44
24.8,9.65,3.81,2.02,1.33,0.67,1.0,0.89,0.0,0.89
20.56,7.63,4.49,1.57,1.29,0.78,0.33,0.89,0.44,0.0
19.65,8.18,3.72,1.45,1.42,0.67,0.78,0.56,0.44,0.0
19.04,5.86,4.78,1.49,1.58,0.33,0.44,0.44,0.67,0.22
18.13,9.09,4.64,2.5,1.59,0.33,0.67,0.33,0.89,0.56
23.99,5.25,4.98,1.49,1.35,0.78,0.0,0.0,0.78,0.22
17.32,9.24,3.93,2.04,1.63,0.44,0.0,0.67,0.0,0.56
20.56,6.82,4.18,2.73,1.47,0.22,0.67,0.56,0.33,0.56
23.08,6.52,2.89,1.44,1.79,0.78,0.44,0.78,1.0,0.22
17.02,7.53,3.93,2.95,1.36,0.67,0.0,0.33,0.89,0.67
24.49,8.69,2.72,2.14,1.62,0.44,0.0,0.44,0.44,0.33
16.52,6.36,3.35,1.92,1.87,0.0,0.44,0.89,0.67,0.56
23.99,7.93,4.64,1.35,1.98,0.33,0.44,0.22,0.33,0.56
24.19,5.86,3.04,1.95,1.28,0.0,0.0,0.56,0.22,0.56
15.51,6.46,3.13,2.48,1.41,0.89,0.56,0.33,0.33,0.78
16.21,5.0,3.98,1.8,1.27,1.0,0.89,0.33,0.22,0.56
17.22,8.13,2.96,2.9,1.67,0.56,0.56,0.78,0.89,0.89
20.35,8.84,2.65,2.97,1.37,0.22,0.33,0.22,0.44,0.67
16.62,7.73,3.06,1.95,1.45,1.0,0.33,0.78,0.78,0.0
17.32,5.25,4.13,2.93,1.23,0.78,0.78,0.67,0.89,0.33
22.58,7.93,4.68,2.54,1.73,0.89,0.44,1.0,0.67,0.0
23.38,9.14,3.5,1.97,1.48,0.56,0.0,0.67,0.78,0.0
17.42,7.53,3.42,2.55,1.62,0.78,0.33,0.44,0.78,0.0
20.96,5.1,3.23,1.88,1.77,0.33,0.56,0.33,0.22,0.78
18.13,6.46,3.76,1.64,1.24,1.0,0.33,1.0,0.67,0.67
15.1,8.54,4.71,1.78,1.56,0.22,0.67,1.0,0.44,0.78
24.49,5.05,2.79,2.71,1.47,0.67,0.0,0.0,1.0,1.0
24.7,8.23,2.94,2.74,1.37,0.78,0.78,0.89,0.0,0.11
20.15,6.97,3.47,2.95,1.54,0.67,0.11,0.0,0.44,0.11
19.85,5.56,2.87,2.24,1.4,0.44,0.44,1.0,0.89,0.0
17.83,5.66,2.77,2.06,1.96,0.56,0.22,1.0,0.44,0.78
19.14,8.54,3.59,2.43,1.41,0.44,0.33,0.44,0.67,0.89
20.56,8.03,4.44,2.61,1.94,0.44,0.0,0.33,0.11,0.78
15.51,7.32,3.35,2.67,1.38,0.33,0.89,0.22,0.67,0.44
15.2,8.13,4.54,2.83,1.23,0.11,0.22,0.22,0.67,0.78
23.38,6.36,4.1,2.5,1.28,1.0,0.67,0.33,0.67,0.22
