task_id,fix_mode_attempt_count,status
HumanEval/0,1,pass
HumanEval/1,1,pass
HumanEval/2,0,pass
HumanEval/3,1,pass
HumanEval/4,0,pass
HumanEval/5,2,pass
HumanEval/6,5,fail
HumanEval/7,1,pass
HumanEval/8,0,pass
HumanEval/9,0,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,5,fail
HumanEval/19,0,pass
HumanEval/20,0,pass
HumanEval/21,0,pass
HumanEval/22,0,pass
HumanEval/23,0,pass
HumanEval/24,4,pass
HumanEval/25,0,pass
HumanEval/26,5,fail
HumanEval/27,0,pass
HumanEval/28,0,pass
HumanEval/29,0,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,0,pass
HumanEval/38,3,pass
HumanEval/39,5,fail
HumanEval/40,0,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,0,pass
HumanEval/44,0,pass
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,0,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,0,pass
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,0,pass
HumanEval/58,0,pass
HumanEval/59,5,fail
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,5,fail
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,0,pass
HumanEval/68,0,pass
HumanEval/69,5,fail
HumanEval/70,1,pass
HumanEval/71,0,pass
HumanEval/72,0,pass
HumanEval/73,0,pass
HumanEval/74,4,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,5,fail
HumanEval/78,0,pass
HumanEval/79,1,pass
HumanEval/80,5,fail
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,5,fail
HumanEval/88,1,pass
HumanEval/89,5,fail
HumanEval/90,1,pass
HumanEval/91,5,fail
HumanEval/92,1,pass
HumanEval/93,5,fail
HumanEval/94,2,pass
HumanEval/95,1,pass
HumanEval/96,0,pass
HumanEval/97,0,pass
HumanEval/98,5,fail
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,0,pass
HumanEval/103,5,fail
HumanEval/104,1,pass
HumanEval/105,0,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,5,fail
HumanEval/109,0,pass
HumanEval/110,0,pass
HumanEval/111,2,pass
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,0,pass
HumanEval/115,5,fail
HumanEval/116,0,pass
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,1,pass
HumanEval/121,0,pass
HumanEval/122,1,pass
HumanEval/123,1,pass
HumanEval/124,0,pass
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,2,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,0,pass
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,5,fail
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,5,fail
HumanEval/143,0,pass
HumanEval/144,4,pass
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,0,pass
HumanEval/148,5,fail
HumanEval/149,0,pass
HumanEval/150,0,pass
HumanEval/151,1,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,1,pass
HumanEval/156,0,pass
HumanEval/157,0,pass
HumanEval/158,0,pass
HumanEval/159,1,pass
HumanEval/160,5,fail
HumanEval/161,0,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
