task_id,fix_mode_attempt_count,status
HumanEval/0,5,fail
HumanEval/1,5,fail
HumanEval/2,5,fail
HumanEval/3,5,fail
HumanEval/4,5,fail
HumanEval/5,5,fail
HumanEval/6,5,fail
HumanEval/7,4,pass
HumanEval/8,3,pass
HumanEval/9,3,pass
HumanEval/10,5,fail
HumanEval/11,2,pass
HumanEval/12,2,pass
HumanEval/13,0,pass
HumanEval/14,5,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,5,pass
HumanEval/19,5,fail
HumanEval/20,5,fail
HumanEval/21,2,pass
HumanEval/22,2,pass
HumanEval/23,0,pass
HumanEval/24,3,pass
HumanEval/25,3,pass
HumanEval/26,5,fail
HumanEval/27,0,pass
HumanEval/28,3,pass
HumanEval/29,4,pass
HumanEval/30,0,pass
HumanEval/31,2,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,5,fail
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,3,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,0,pass
HumanEval/44,5,fail
HumanEval/45,0,pass
HumanEval/46,5,fail
HumanEval/47,0,pass
HumanEval/48,4,pass
HumanEval/49,0,pass
HumanEval/50,5,fail
HumanEval/51,5,pass
HumanEval/52,5,pass
HumanEval/53,0,pass
HumanEval/54,5,pass
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,5,fail
HumanEval/58,0,pass
HumanEval/59,5,fail
HumanEval/60,2,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,0,pass
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,3,pass
HumanEval/68,0,pass
HumanEval/69,5,fail
HumanEval/70,5,fail
HumanEval/71,4,pass
HumanEval/72,0,pass
HumanEval/73,5,fail
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,5,fail
HumanEval/78,5,fail
HumanEval/79,1,pass
HumanEval/80,5,fail
HumanEval/81,3,pass
HumanEval/82,3,pass
HumanEval/83,1,pass
HumanEval/84,5,fail
HumanEval/85,5,pass
HumanEval/86,5,fail
HumanEval/87,5,fail
HumanEval/88,2,pass
HumanEval/89,5,fail
HumanEval/90,5,fail
HumanEval/91,5,fail
HumanEval/92,5,fail
HumanEval/93,5,fail
HumanEval/94,5,fail
HumanEval/95,5,fail
HumanEval/96,5,fail
HumanEval/97,0,pass
HumanEval/98,3,pass
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,1,pass
HumanEval/103,0,pass
HumanEval/104,5,fail
HumanEval/105,5,fail
HumanEval/106,5,fail
HumanEval/107,0,pass
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,5,fail
HumanEval/111,5,fail
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,5,fail
HumanEval/115,5,fail
HumanEval/116,0,pass
HumanEval/117,5,fail
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,5,fail
HumanEval/121,5,fail
HumanEval/122,0,pass
HumanEval/123,5,fail
HumanEval/124,5,fail
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,2,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,4,pass
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,5,fail
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,5,fail
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,4,pass
HumanEval/143,2,pass
HumanEval/144,3,pass
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,5,fail
HumanEval/148,5,fail
HumanEval/149,0,pass
HumanEval/150,4,pass
HumanEval/151,5,fail
HumanEval/152,0,pass
HumanEval/153,5,fail
HumanEval/154,0,pass
HumanEval/155,4,pass
HumanEval/156,5,fail
HumanEval/157,5,pass
HumanEval/158,5,fail
HumanEval/159,5,fail
HumanEval/160,5,fail
HumanEval/161,0,pass
HumanEval/162,1,pass
HumanEval/163,5,fail
