task_id,fix_mode_attempt_count,status
HumanEval/0,3,pass
HumanEval/1,1,pass
HumanEval/2,1,pass
HumanEval/3,1,pass
HumanEval/4,2,pass
HumanEval/5,1,pass
HumanEval/6,1,pass
HumanEval/7,0,pass
HumanEval/8,0,pass
HumanEval/9,1,pass
HumanEval/10,1,pass
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,1,pass
HumanEval/14,5,fail
HumanEval/15,0,pass
HumanEval/16,3,pass
HumanEval/17,5,fail
HumanEval/18,0,pass
HumanEval/19,2,pass
HumanEval/20,3,pass
HumanEval/21,0,pass
HumanEval/22,1,pass
HumanEval/23,0,pass
HumanEval/24,0,pass
HumanEval/25,0,pass
HumanEval/26,5,fail
HumanEval/27,1,pass
HumanEval/28,1,pass
HumanEval/29,0,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,1,pass
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,1,pass
HumanEval/36,0,pass
HumanEval/37,5,fail
HumanEval/38,0,pass
HumanEval/39,5,fail
HumanEval/40,0,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,4,pass
HumanEval/44,3,pass
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,3,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,0,pass
HumanEval/51,0,pass
HumanEval/52,2,pass
HumanEval/53,0,pass
HumanEval/54,5,fail
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,5,fail
HumanEval/58,0,pass
HumanEval/59,0,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,0,pass
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,5,pass
HumanEval/68,1,pass
HumanEval/69,4,pass
HumanEval/70,5,fail
HumanEval/71,1,pass
HumanEval/72,1,pass
HumanEval/73,0,pass
HumanEval/74,0,pass
HumanEval/75,0,pass
HumanEval/76,0,pass
HumanEval/77,0,pass
HumanEval/78,0,pass
HumanEval/79,0,pass
HumanEval/80,0,pass
HumanEval/81,5,fail
HumanEval/82,4,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,5,fail
HumanEval/87,5,fail
HumanEval/88,0,pass
HumanEval/89,5,pass
HumanEval/90,5,fail
HumanEval/91,5,fail
HumanEval/92,3,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,5,fail
HumanEval/96,5,fail
HumanEval/97,1,pass
HumanEval/98,0,pass
HumanEval/99,4,pass
HumanEval/100,0,pass
HumanEval/101,0,pass
HumanEval/102,1,pass
HumanEval/103,0,pass
HumanEval/104,0,pass
HumanEval/105,1,pass
HumanEval/106,2,pass
HumanEval/107,1,pass
HumanEval/108,4,pass
HumanEval/109,0,pass
HumanEval/110,5,fail
HumanEval/111,0,pass
HumanEval/112,0,pass
HumanEval/113,0,pass
HumanEval/114,0,pass
HumanEval/115,5,fail
HumanEval/116,1,pass
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,0,pass
HumanEval/121,0,pass
HumanEval/122,0,pass
HumanEval/123,5,fail
HumanEval/124,0,pass
HumanEval/125,2,pass
HumanEval/126,5,fail
HumanEval/127,0,pass
HumanEval/128,5,fail
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,1,pass
HumanEval/132,5,fail
HumanEval/133,5,fail
HumanEval/134,0,pass
HumanEval/135,5,fail
HumanEval/136,2,pass
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,5,pass
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,3,pass
HumanEval/143,0,pass
HumanEval/144,5,fail
HumanEval/145,5,fail
HumanEval/146,0,pass
HumanEval/147,2,pass
HumanEval/148,5,fail
HumanEval/149,0,pass
HumanEval/150,2,pass
HumanEval/151,0,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,0,pass
HumanEval/157,0,pass
HumanEval/158,0,pass
HumanEval/159,0,pass
HumanEval/160,1,pass
HumanEval/161,0,pass
HumanEval/162,1,pass
HumanEval/163,5,fail
