task_id,fix_mode_attempt_count,status
HumanEval/0,0,pass
HumanEval/1,1,pass
HumanEval/2,0,pass
HumanEval/3,0,pass
HumanEval/4,0,pass
HumanEval/5,2,pass
HumanEval/6,0,pass
HumanEval/7,0,pass
HumanEval/8,0,pass
HumanEval/9,2,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,0,pass
HumanEval/19,5,fail
HumanEval/20,0,pass
HumanEval/21,0,pass
HumanEval/22,0,pass
HumanEval/23,0,pass
HumanEval/24,5,fail
HumanEval/25,0,pass
HumanEval/26,5,fail
HumanEval/27,0,pass
HumanEval/28,1,pass
HumanEval/29,1,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,0,pass
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,3,pass
HumanEval/38,4,pass
HumanEval/39,5,fail
HumanEval/40,0,pass
HumanEval/41,0,pass
HumanEval/42,0,pass
HumanEval/43,0,pass
HumanEval/44,0,pass
HumanEval/45,0,pass
HumanEval/46,5,fail
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,2,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,0,pass
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,0,pass
HumanEval/58,0,pass
HumanEval/59,1,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,0,pass
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,0,pass
HumanEval/68,0,pass
HumanEval/69,0,pass
HumanEval/70,1,pass
HumanEval/71,0,pass
HumanEval/72,0,pass
HumanEval/73,0,pass
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,2,pass
HumanEval/78,0,pass
HumanEval/79,1,pass
HumanEval/80,5,fail
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,5,fail
HumanEval/88,1,pass
HumanEval/89,1,pass
HumanEval/90,1,pass
HumanEval/91,5,fail
HumanEval/92,0,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,5,fail
HumanEval/96,0,pass
HumanEval/97,0,pass
HumanEval/98,0,pass
HumanEval/99,2,pass
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,0,pass
HumanEval/103,0,pass
HumanEval/104,0,pass
HumanEval/105,0,pass
HumanEval/106,0,pass
HumanEval/107,1,pass
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,0,pass
HumanEval/111,1,pass
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,0,pass
HumanEval/115,3,pass
HumanEval/116,0,pass
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,1,pass
HumanEval/121,0,pass
HumanEval/122,0,pass
HumanEval/123,2,pass
HumanEval/124,1,pass
HumanEval/125,5,fail
HumanEval/126,0,pass
HumanEval/127,1,pass
HumanEval/128,0,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,0,pass
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,1,pass
HumanEval/136,5,fail
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,0,pass
HumanEval/140,5,fail
HumanEval/141,3,pass
HumanEval/142,2,pass
HumanEval/143,0,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,0,pass
HumanEval/147,0,pass
HumanEval/148,0,pass
HumanEval/149,0,pass
HumanEval/150,0,pass
HumanEval/151,2,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,0,pass
HumanEval/157,3,pass
HumanEval/158,0,pass
HumanEval/159,5,fail
HumanEval/160,0,pass
HumanEval/161,0,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
