task_id,fix_mode_attempt_count,status
1,3,pass
2,0,pass
3,0,pass
4,0,pass
5,0,pass
6,0,pass
7,0,pass
8,0,pass
9,0,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,0,pass
15,5,fail
16,5,fail
17,0,pass
18,0,pass
19,0,pass
20,1,pass
21,5,fail
22,0,pass
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,1,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,5,fail
34,0,pass
35,5,fail
36,3,pass
37,0,pass
38,0,pass
39,3,pass
40,1,pass
41,0,pass
42,0,pass
43,5,fail
44,2,pass
45,1,pass
46,0,pass
47,5,fail
48,5,fail
49,1,pass
50,3,pass
51,0,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,0,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,1,pass
65,0,pass
66,0,pass
67,5,fail
68,0,pass
69,1,pass
70,3,pass
71,0,pass
72,1,pass
73,5,fail
74,0,pass
75,5,fail
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,1,pass
81,5,fail
82,0,pass
83,5,fail
84,1,pass
85,0,pass
86,0,pass
87,1,pass
88,0,pass
89,0,pass
90,0,pass
91,0,pass
92,0,pass
93,0,pass
94,3,pass
95,1,pass
96,0,pass
97,0,pass
98,0,pass
99,1,pass
100,1,pass
101,5,fail
102,1,pass
103,5,fail
104,5,pass
105,0,pass
106,2,pass
107,5,fail
108,5,fail
109,0,pass
110,5,fail
111,2,pass
112,5,fail
113,0,pass
114,5,fail
115,1,pass
116,0,pass
117,5,fail
118,0,pass
119,0,pass
120,0,pass
121,5,fail
122,5,fail
123,0,pass
124,5,fail
125,5,fail
126,5,fail
127,0,pass
128,0,pass
129,1,pass
130,5,fail
131,1,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,5,fail
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,5,fail
143,5,fail
144,1,pass
145,0,pass
146,5,fail
147,5,fail
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,1,pass
155,5,fail
156,0,pass
157,4,pass
158,5,fail
159,5,fail
160,5,fail
161,0,pass
162,0,pass
163,0,pass
164,0,pass
165,0,pass
166,0,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,1,pass
176,0,pass
177,5,fail
178,5,fail
179,1,pass
180,5,fail
181,0,pass
182,5,fail
183,5,fail
184,5,fail
185,5,fail
186,5,fail
187,5,fail
188,5,fail
189,0,pass
190,5,fail
191,0,pass
192,0,pass
193,5,fail
194,0,pass
195,0,pass
196,1,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,5,fail
206,1,pass
207,0,pass
208,0,pass
209,5,fail
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,1,pass
215,0,pass
216,5,fail
217,5,fail
218,5,fail
219,5,fail
220,5,fail
221,1,pass
222,0,pass
223,1,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,5,fail
229,5,fail
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,0,pass
238,0,pass
239,5,fail
240,0,pass
241,5,fail
242,0,pass
243,5,fail
244,0,pass
245,5,fail
246,5,fail
247,2,pass
248,1,pass
249,5,fail
250,0,pass
251,1,pass
252,0,pass
253,0,pass
254,5,fail
255,0,pass
256,0,pass
257,0,pass
258,0,pass
259,1,pass
260,5,fail
261,0,pass
262,0,pass
263,0,pass
264,0,pass
265,3,pass
266,0,pass
267,0,pass
268,0,pass
269,0,pass
270,1,pass
271,1,pass
272,0,pass
273,1,pass
274,0,pass
275,5,fail
276,5,fail
277,0,pass
278,5,fail
279,5,fail
280,1,pass
281,1,pass
282,1,pass
283,0,pass
284,1,pass
285,5,fail
286,5,fail
287,0,pass
288,1,pass
289,5,fail
290,5,fail
291,4,pass
292,1,pass
293,0,pass
294,2,pass
295,0,pass
296,0,pass
297,5,pass
298,5,fail
299,1,pass
300,5,fail
301,1,pass
302,0,pass
303,5,fail
304,5,fail
305,5,pass
306,5,fail
307,5,fail
308,0,pass
309,0,pass
310,3,pass
311,0,pass
312,5,fail
313,5,fail
314,5,fail
315,1,pass
316,1,pass
317,1,pass
318,0,pass
319,0,pass
320,0,pass
321,5,fail
322,0,pass
323,5,fail
324,5,fail
325,0,pass
326,0,pass
327,0,pass
328,5,fail
329,1,pass
330,0,pass
331,0,pass
332,0,pass
333,1,pass
334,0,pass
335,0,pass
336,0,pass
337,3,pass
338,0,pass
339,5,fail
340,1,pass
341,0,pass
342,2,pass
343,3,pass
344,0,pass
345,0,pass
346,5,fail
347,0,pass
348,5,fail
349,1,pass
350,5,fail
351,5,fail
352,0,pass
353,0,pass
354,0,pass
355,5,fail
356,0,pass
357,0,pass
358,0,pass
359,1,pass
360,0,pass
361,0,pass
362,0,pass
363,1,pass
364,0,pass
365,0,pass
366,0,pass
367,5,fail
368,0,pass
369,5,fail
370,2,pass
371,5,fail
372,0,pass
373,0,pass
374,5,fail
375,2,pass
376,5,fail
377,0,pass
378,5,fail
379,0,pass
380,1,pass
381,0,pass
382,0,pass
383,5,fail
384,0,pass
385,1,pass
386,5,fail
387,0,pass
388,0,pass
389,0,pass
390,0,pass
391,3,pass
392,0,pass
393,1,pass
394,0,pass
395,0,pass
396,2,pass
397,0,pass
398,5,fail
399,0,pass
400,5,fail
401,1,pass
402,0,pass
403,0,pass
404,0,pass
405,0,pass
406,1,pass
407,1,pass
408,0,pass
409,0,pass
410,0,pass
411,5,fail
412,1,pass
413,0,pass
414,0,pass
415,4,pass
416,0,pass
417,5,pass
418,1,pass
419,0,pass
420,0,pass
421,1,pass
422,0,pass
423,2,pass
424,0,pass
425,1,pass
426,0,pass
427,0,pass
428,0,pass
429,1,pass
430,5,fail
431,1,pass
432,5,fail
433,5,fail
434,5,fail
435,0,pass
436,5,fail
437,1,pass
438,5,fail
439,0,pass
440,5,fail
441,0,pass
442,2,pass
443,5,fail
444,5,fail
445,0,pass
446,2,pass
447,0,pass
448,5,fail
449,1,pass
450,5,fail
451,0,pass
452,5,fail
453,0,pass
454,2,pass
455,0,pass
456,0,pass
457,1,pass
458,0,pass
459,0,pass
460,1,pass
461,5,fail
462,5,fail
463,0,pass
464,0,pass
465,0,pass
466,1,pass
467,2,pass
468,5,fail
469,0,pass
470,5,fail
471,0,pass
472,0,pass
473,5,fail
474,0,pass
475,1,pass
476,0,pass
477,0,pass
478,0,pass
479,0,pass
480,0,pass
481,5,fail
482,1,pass
483,5,fail
484,1,pass
485,0,pass
486,0,pass
487,1,pass
488,0,pass
489,0,pass
490,5,fail
491,5,fail
492,1,pass
493,5,fail
494,5,fail
495,0,pass
496,0,pass
497,0,pass
498,0,pass
499,0,pass
500,5,fail
501,5,fail
502,0,pass
503,5,fail
504,0,pass
505,0,pass
506,0,pass
507,0,pass
508,5,fail
509,0,pass
510,5,fail
511,5,fail
512,0,pass
513,5,fail
514,0,pass
515,5,fail
516,0,pass
517,0,pass
518,0,pass
519,1,pass
520,0,pass
521,5,fail
522,0,pass
523,5,fail
524,0,pass
525,5,fail
526,0,pass
527,1,pass
528,5,fail
529,5,fail
530,1,pass
531,0,pass
532,0,pass
533,5,pass
534,1,pass
535,5,fail
536,5,fail
537,5,fail
538,5,fail
539,0,pass
540,0,pass
541,0,pass
542,0,pass
543,5,fail
544,1,pass
545,5,fail
546,5,fail
547,5,fail
548,0,pass
549,0,pass
550,5,fail
551,0,pass
552,3,pass
553,0,pass
554,1,pass
555,0,pass
556,0,pass
557,0,pass
558,0,pass
559,0,pass
560,0,pass
561,5,fail
562,1,pass
563,0,pass
564,1,pass
565,0,pass
566,0,pass
567,1,pass
568,0,pass
569,1,pass
570,5,fail
571,5,fail
572,2,pass
573,0,pass
574,5,fail
575,5,fail
576,0,pass
577,0,pass
578,0,pass
579,0,pass
580,1,pass
581,5,fail
582,0,pass
583,0,pass
584,2,pass
585,1,pass
586,5,fail
587,0,pass
588,0,pass
589,0,pass
590,5,fail
591,1,pass
592,5,fail
593,0,pass
594,0,pass
595,3,pass
596,5,fail
597,0,pass
598,0,pass
599,0,pass
600,0,pass
601,0,pass
602,4,pass
603,5,fail
604,0,pass
605,0,pass
606,0,pass
607,1,pass
608,2,pass
609,5,fail
610,5,fail
611,0,pass
612,3,pass
613,1,pass
614,1,pass
615,5,fail
616,0,pass
617,5,fail
618,0,pass
619,0,pass
620,3,pass
621,4,pass
622,0,pass
623,0,pass
624,0,pass
625,5,fail
626,5,fail
627,5,fail
628,0,pass
629,0,pass
630,2,pass
631,3,pass
632,1,pass
633,5,fail
634,2,pass
635,0,pass
636,5,fail
637,0,pass
638,5,fail
639,1,pass
640,4,pass
641,0,pass
642,5,fail
643,2,pass
644,0,pass
645,0,pass
646,5,fail
647,0,pass
648,0,pass
649,0,pass
650,1,pass
651,0,pass
652,5,fail
653,0,pass
654,0,pass
655,0,pass
656,0,pass
657,0,pass
658,0,pass
659,2,pass
660,5,fail
661,5,fail
662,0,pass
663,0,pass
664,0,pass
665,1,pass
666,0,pass
667,0,pass
668,0,pass
669,1,pass
670,5,fail
671,5,fail
672,0,pass
673,1,pass
674,0,pass
675,0,pass
676,0,pass
677,5,fail
678,0,pass
679,0,pass
680,0,pass
681,0,pass
682,0,pass
683,0,pass
684,5,fail
685,0,pass
686,1,pass
687,0,pass
688,0,pass
689,5,fail
690,4,pass
691,0,pass
692,0,pass
693,0,pass
694,1,pass
695,0,pass
696,2,pass
697,0,pass
698,0,pass
699,1,pass
700,0,pass
701,2,pass
702,0,pass
703,0,pass
704,5,pass
705,1,pass
706,0,pass
707,0,pass
708,0,pass
709,5,fail
710,0,pass
711,0,pass
712,5,fail
713,5,fail
714,5,fail
715,0,pass
716,0,pass
717,2,pass
718,0,pass
719,2,pass
720,0,pass
721,5,fail
722,0,pass
723,5,fail
724,0,pass
725,0,pass
726,1,pass
727,4,pass
728,1,pass
729,1,pass
730,0,pass
731,0,pass
732,5,fail
733,0,pass
734,0,pass
735,1,pass
736,0,pass
737,1,pass
738,5,fail
739,5,fail
740,0,pass
741,0,pass
742,0,pass
743,5,fail
744,0,pass
745,5,fail
746,5,fail
747,0,pass
748,1,pass
749,5,pass
750,5,fail
751,5,fail
752,0,pass
753,0,pass
754,5,fail
755,3,pass
756,5,fail
757,5,fail
758,2,pass
759,0,pass
760,1,pass
761,5,fail
762,0,pass
763,0,pass
764,0,pass
765,5,fail
766,0,pass
767,0,pass
768,0,pass
769,5,fail
770,0,pass
771,0,pass
772,0,pass
773,5,fail
774,1,pass
775,0,pass
776,5,fail
777,5,fail
778,0,pass
779,2,pass
780,5,fail
781,3,pass
782,0,pass
783,5,fail
784,1,pass
785,0,pass
