task_id,fix_mode_attempt_count,status
1,3,pass
2,0,pass
3,1,pass
4,0,pass
5,1,pass
6,0,pass
7,0,pass
8,0,pass
9,0,pass
10,0,pass
11,0,pass
12,1,pass
13,5,fail
14,0,pass
15,2,pass
16,3,pass
17,0,pass
18,0,pass
19,0,pass
20,0,pass
21,2,pass
22,1,pass
23,0,pass
24,2,pass
25,5,fail
26,1,pass
27,0,pass
28,0,pass
29,5,fail
30,0,pass
31,5,fail
32,0,pass
33,1,pass
34,5,fail
35,0,pass
36,5,fail
37,0,pass
38,2,pass
39,2,pass
40,0,pass
41,0,pass
42,0,pass
43,2,pass
44,3,pass
45,0,pass
46,0,pass
47,1,pass
48,0,pass
49,0,pass
50,1,pass
51,0,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,5,fail
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,0,pass
65,0,pass
66,2,pass
67,0,pass
68,0,pass
69,0,pass
70,2,pass
71,0,pass
72,0,pass
73,3,pass
74,0,pass
75,5,fail
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,1,pass
82,5,fail
83,5,fail
84,0,pass
85,5,fail
86,0,pass
87,3,pass
88,0,pass
89,0,pass
90,0,pass
91,1,pass
92,1,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,5,fail
100,0,pass
101,5,fail
102,5,fail
103,1,pass
104,5,fail
105,0,pass
106,1,pass
107,1,pass
108,1,pass
109,5,fail
110,5,fail
111,2,pass
112,5,fail
113,0,pass
114,5,fail
115,1,pass
116,0,pass
117,5,fail
118,1,pass
119,5,fail
120,5,fail
121,5,fail
122,5,fail
123,5,fail
124,5,fail
125,5,fail
126,4,pass
127,0,pass
128,0,pass
129,0,pass
130,2,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,3,pass
138,5,fail
139,5,fail
140,4,pass
141,0,pass
142,0,pass
143,1,pass
144,5,fail
145,5,fail
146,2,pass
147,5,fail
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,0,pass
155,5,fail
156,0,pass
157,1,pass
158,5,fail
159,5,fail
160,5,fail
161,0,pass
162,0,pass
163,3,pass
164,5,fail
165,0,pass
166,4,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,2,pass
179,1,pass
180,5,fail
181,2,pass
182,1,pass
183,5,fail
184,5,fail
185,5,fail
186,1,pass
187,1,pass
188,5,fail
189,4,pass
190,5,fail
191,0,pass
192,0,pass
193,5,fail
194,0,pass
195,4,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,2,pass
206,0,pass
207,0,pass
208,2,pass
209,5,pass
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,0,pass
215,1,pass
216,5,fail
217,5,fail
218,5,fail
219,5,fail
220,5,fail
221,1,pass
222,0,pass
223,5,fail
224,0,pass
225,5,fail
226,0,pass
227,0,pass
228,5,fail
229,0,pass
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,5,fail
238,0,pass
239,5,fail
240,0,pass
241,3,pass
242,0,pass
243,5,pass
244,1,pass
245,5,fail
246,0,pass
247,0,pass
248,5,fail
249,5,pass
250,0,pass
251,1,pass
252,0,pass
253,0,pass
254,5,fail
255,5,fail
256,0,pass
257,0,pass
258,0,pass
259,0,pass
260,5,fail
261,2,pass
262,0,pass
263,0,pass
264,5,fail
265,1,pass
266,0,pass
267,0,pass
268,0,pass
269,0,pass
270,0,pass
271,0,pass
272,0,pass
273,0,pass
274,0,pass
275,5,fail
276,5,fail
277,0,pass
278,0,pass
279,0,pass
280,2,pass
281,0,pass
282,0,pass
283,0,pass
284,0,pass
285,2,pass
286,5,fail
287,0,pass
288,5,fail
289,1,pass
290,5,fail
291,0,pass
292,0,pass
293,2,pass
294,0,pass
295,1,pass
296,0,pass
297,0,pass
298,5,fail
299,0,pass
300,5,fail
301,0,pass
302,0,pass
303,5,fail
304,5,fail
305,2,pass
306,5,fail
307,0,pass
308,0,pass
309,0,pass
310,5,fail
311,4,pass
312,5,fail
313,5,fail
314,0,pass
315,5,fail
316,0,pass
317,2,pass
318,5,fail
319,0,pass
320,0,pass
321,5,fail
322,0,pass
323,5,fail
324,4,pass
325,0,pass
326,0,pass
327,5,fail
328,5,fail
329,5,fail
330,0,pass
331,0,pass
332,0,pass
333,1,pass
334,0,pass
335,0,pass
336,0,pass
337,5,fail
338,0,pass
339,5,fail
340,0,pass
341,0,pass
342,1,pass
343,2,pass
344,5,fail
345,0,pass
346,5,fail
347,5,fail
348,5,fail
349,1,pass
350,1,pass
351,5,fail
352,0,pass
353,0,pass
354,5,fail
355,5,fail
356,0,pass
357,0,pass
358,0,pass
359,5,fail
360,0,pass
361,0,pass
362,0,pass
363,0,pass
364,0,pass
365,0,pass
366,0,pass
367,5,fail
368,1,pass
369,0,pass
370,0,pass
371,5,fail
372,0,pass
373,0,pass
374,5,fail
375,0,pass
376,3,pass
377,0,pass
378,0,pass
379,0,pass
380,1,pass
381,0,pass
382,2,pass
383,5,fail
384,1,pass
385,0,pass
386,5,fail
387,0,pass
388,0,pass
389,0,pass
390,0,pass
391,1,pass
392,0,pass
393,1,pass
394,0,pass
395,5,fail
396,2,pass
397,0,pass
398,5,fail
399,0,pass
400,1,pass
401,0,pass
402,1,pass
403,0,pass
404,0,pass
405,0,pass
406,1,pass
407,2,pass
408,5,fail
409,0,pass
410,0,pass
411,5,fail
412,5,fail
413,0,pass
414,0,pass
415,5,fail
416,0,pass
417,1,pass
418,5,fail
419,1,pass
420,1,pass
421,1,pass
422,0,pass
423,0,pass
424,1,pass
425,0,pass
426,0,pass
427,5,fail
428,2,pass
429,0,pass
430,5,fail
431,5,fail
432,0,pass
433,2,pass
434,3,pass
435,0,pass
436,5,fail
437,5,fail
438,5,fail
439,0,pass
440,5,fail
441,0,pass
442,1,pass
443,5,fail
444,5,fail
445,0,pass
446,2,pass
447,0,pass
448,2,pass
449,5,fail
450,0,pass
451,0,pass
452,5,fail
453,1,pass
454,1,pass
455,0,pass
456,0,pass
457,5,fail
458,0,pass
459,0,pass
460,0,pass
461,5,fail
462,5,fail
463,0,pass
464,1,pass
465,0,pass
466,5,fail
467,0,pass
468,5,fail
469,0,pass
470,0,pass
471,2,pass
472,0,pass
473,1,pass
474,0,pass
475,1,pass
476,0,pass
477,0,pass
478,0,pass
479,0,pass
480,5,fail
481,0,pass
482,5,fail
483,5,fail
484,0,pass
485,5,fail
486,5,fail
487,0,pass
488,0,pass
489,5,fail
490,5,fail
491,2,pass
492,1,pass
493,5,fail
494,5,fail
495,0,pass
496,0,pass
497,5,fail
498,0,pass
499,0,pass
500,5,fail
501,1,pass
502,0,pass
503,5,fail
504,0,pass
505,2,pass
506,1,pass
507,0,pass
508,0,pass
509,5,fail
510,5,fail
511,5,fail
512,0,pass
513,0,pass
514,0,pass
515,5,fail
516,5,fail
517,0,pass
518,1,pass
519,1,pass
520,0,pass
521,0,pass
522,5,fail
523,5,fail
524,1,pass
525,5,fail
526,2,pass
527,2,pass
528,5,fail
529,0,pass
530,1,pass
531,5,fail
532,0,pass
533,1,pass
534,2,pass
535,5,fail
536,0,pass
537,5,fail
538,5,fail
539,0,pass
540,5,fail
541,0,pass
542,0,pass
543,1,pass
544,5,fail
545,0,pass
546,5,fail
547,0,pass
548,0,pass
549,0,pass
550,5,fail
551,0,pass
552,2,pass
553,1,pass
554,0,pass
555,0,pass
556,0,pass
557,0,pass
558,5,fail
559,0,pass
560,5,fail
561,3,pass
562,0,pass
563,3,pass
564,5,fail
565,0,pass
566,0,pass
567,0,pass
568,0,pass
569,0,pass
570,1,pass
571,0,pass
572,2,pass
573,0,pass
574,5,fail
575,5,fail
576,5,fail
577,0,pass
578,0,pass
579,0,pass
580,2,pass
581,0,pass
582,2,pass
583,0,pass
584,5,fail
585,3,pass
586,0,pass
587,0,pass
588,0,pass
589,0,pass
590,5,fail
591,0,pass
592,5,fail
593,5,fail
594,5,fail
595,5,fail
596,5,fail
597,1,pass
598,0,pass
599,0,pass
600,0,pass
601,5,fail
602,5,fail
603,4,pass
604,1,pass
605,5,fail
606,0,pass
607,1,pass
608,1,pass
609,5,fail
610,1,pass
611,1,pass
612,2,pass
613,1,pass
614,1,pass
615,2,pass
616,0,pass
617,5,fail
618,0,pass
619,0,pass
620,5,fail
621,0,pass
622,5,fail
623,0,pass
624,0,pass
625,0,pass
626,1,pass
627,5,fail
628,5,fail
629,0,pass
630,2,pass
631,0,pass
632,1,pass
633,3,pass
634,1,pass
635,0,pass
636,2,pass
637,0,pass
638,5,fail
639,5,fail
640,5,fail
641,0,pass
642,5,pass
643,1,pass
644,0,pass
645,0,pass
646,5,fail
647,5,fail
648,0,pass
649,3,pass
650,5,fail
651,0,pass
652,5,fail
653,5,fail
654,0,pass
655,0,pass
656,4,pass
657,0,pass
658,0,pass
659,3,pass
660,5,fail
661,1,pass
662,0,pass
663,3,pass
664,3,pass
665,5,pass
666,0,pass
667,5,fail
668,0,pass
669,1,pass
670,5,fail
671,1,pass
672,0,pass
673,0,pass
674,0,pass
675,5,fail
676,0,pass
677,0,pass
678,5,fail
679,1,pass
680,1,pass
681,0,pass
682,0,pass
683,2,pass
684,5,fail
685,0,pass
686,5,fail
687,0,pass
688,0,pass
689,5,fail
690,0,pass
691,0,pass
692,5,fail
693,5,fail
694,1,pass
695,0,pass
696,0,pass
697,0,pass
698,0,pass
699,5,fail
700,5,pass
701,0,pass
702,5,fail
703,0,pass
704,1,pass
705,0,pass
706,5,fail
707,0,pass
708,2,pass
709,5,fail
710,0,pass
711,0,pass
712,5,fail
713,1,pass
714,5,fail
715,5,fail
716,0,pass
717,1,pass
718,0,pass
719,1,pass
720,0,pass
721,2,pass
722,0,pass
723,0,pass
724,0,pass
725,0,pass
726,0,pass
727,3,pass
728,0,pass
729,0,pass
730,0,pass
731,5,fail
732,1,pass
733,0,pass
734,5,fail
735,3,pass
736,0,pass
737,1,pass
738,2,pass
739,0,pass
740,0,pass
741,0,pass
742,0,pass
743,5,fail
744,0,pass
745,1,pass
746,5,fail
747,0,pass
748,5,fail
749,1,pass
750,0,pass
751,5,fail
752,2,pass
753,1,pass
754,5,fail
755,1,pass
756,2,pass
757,5,fail
758,1,pass
759,2,pass
760,1,pass
761,5,fail
762,0,pass
763,5,fail
764,0,pass
765,1,pass
766,1,pass
767,5,pass
768,0,pass
769,0,pass
770,0,pass
771,5,fail
772,0,pass
773,2,pass
774,1,pass
775,1,pass
776,5,fail
777,5,fail
778,0,pass
779,1,pass
780,1,pass
781,0,pass
782,0,pass
783,5,fail
784,5,fail
785,3,pass
