task_id,fix_mode_attempt_count,status
1,0,pass
2,0,pass
3,0,pass
4,0,pass
5,0,pass
6,0,pass
7,0,pass
8,0,pass
9,0,pass
10,1,pass
11,1,pass
12,0,pass
13,3,pass
14,0,pass
15,2,pass
16,2,pass
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,1,pass
22,1,pass
23,0,pass
24,0,pass
25,0,pass
26,0,pass
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,3,pass
34,1,pass
35,1,pass
36,0,pass
37,0,pass
38,0,pass
39,1,pass
40,1,pass
41,0,pass
42,0,pass
43,3,pass
44,2,pass
45,0,pass
46,1,pass
47,0,pass
48,5,fail
49,0,pass
50,1,pass
51,5,fail
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,0,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,0,pass
65,0,pass
66,0,pass
67,1,pass
68,0,pass
69,0,pass
70,2,pass
71,1,pass
72,0,pass
73,0,pass
74,0,pass
75,1,pass
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,1,pass
82,0,pass
83,3,pass
84,0,pass
85,0,pass
86,0,pass
87,1,pass
88,0,pass
89,0,pass
90,0,pass
91,0,pass
92,0,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,0,pass
102,1,pass
103,0,pass
104,1,pass
105,0,pass
106,0,pass
107,5,fail
108,2,pass
109,0,pass
110,5,fail
111,5,fail
112,2,pass
113,0,pass
114,2,pass
115,0,pass
116,0,pass
117,5,fail
118,1,pass
119,0,pass
120,1,pass
121,5,fail
122,5,fail
123,0,pass
124,1,pass
125,0,pass
126,0,pass
127,0,pass
128,0,pass
129,0,pass
130,1,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,1,pass
138,5,fail
139,5,fail
140,1,pass
141,0,pass
142,0,pass
143,5,fail
144,0,pass
145,0,pass
146,1,pass
147,0,pass
148,1,pass
149,0,pass
150,5,fail
151,0,pass
152,1,pass
153,0,pass
154,0,pass
155,1,pass
156,0,pass
157,1,pass
158,5,fail
159,2,pass
160,5,fail
161,0,pass
162,0,pass
163,0,pass
164,1,pass
165,0,pass
166,0,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,2,pass
179,0,pass
180,5,fail
181,2,pass
182,1,pass
183,5,fail
184,5,fail
185,0,pass
186,1,pass
187,0,pass
188,5,fail
189,0,pass
190,5,fail
191,0,pass
192,0,pass
193,1,pass
194,0,pass
195,0,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,1,pass
206,0,pass
207,0,pass
208,0,pass
209,5,fail
210,0,pass
211,3,pass
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,1,pass
218,5,fail
219,3,pass
220,4,pass
221,0,pass
222,0,pass
223,0,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,5,fail
229,3,pass
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,1,pass
238,0,pass
239,5,fail
240,0,pass
241,1,pass
242,0,pass
243,1,pass
244,0,pass
245,0,pass
246,0,pass
247,0,pass
248,4,pass
249,0,pass
250,0,pass
251,0,pass
252,1,pass
253,0,pass
254,1,pass
255,0,pass
