task_id,fix_mode_attempt_count,status
HumanEval/0,1,pass
HumanEval/1,5,fail
HumanEval/2,5,pass
HumanEval/3,3,pass
HumanEval/4,1,pass
HumanEval/5,2,pass
HumanEval/6,5,fail
HumanEval/7,5,fail
HumanEval/8,3,pass
HumanEval/9,5,fail
HumanEval/10,5,fail
HumanEval/11,5,fail
HumanEval/12,5,fail
HumanEval/13,3,pass
HumanEval/14,4,pass
HumanEval/15,0,pass
HumanEval/16,5,fail
HumanEval/17,5,fail
HumanEval/18,5,fail
HumanEval/19,1,pass
HumanEval/20,2,pass
HumanEval/21,3,pass
HumanEval/22,5,fail
HumanEval/23,1,pass
HumanEval/24,5,fail
HumanEval/25,5,fail
HumanEval/26,5,fail
HumanEval/27,5,fail
HumanEval/28,5,fail
HumanEval/29,3,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,2,pass
HumanEval/35,0,pass
HumanEval/36,5,fail
HumanEval/37,5,fail
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,3,pass
HumanEval/41,5,fail
HumanEval/42,1,pass
HumanEval/43,5,pass
HumanEval/44,1,pass
HumanEval/45,2,pass
HumanEval/46,4,pass
HumanEval/47,2,pass
HumanEval/48,1,pass
HumanEval/49,0,pass
HumanEval/50,4,pass
HumanEval/51,4,pass
HumanEval/52,5,pass
HumanEval/53,1,pass
HumanEval/54,2,pass
HumanEval/55,5,pass
HumanEval/56,0,pass
HumanEval/57,0,pass
HumanEval/58,4,pass
HumanEval/59,5,fail
HumanEval/60,3,pass
HumanEval/61,2,pass
HumanEval/62,5,fail
HumanEval/63,5,pass
HumanEval/64,5,fail
HumanEval/65,5,pass
HumanEval/66,2,pass
HumanEval/67,5,fail
HumanEval/68,5,pass
HumanEval/69,5,fail
HumanEval/70,5,fail
HumanEval/71,1,pass
HumanEval/72,1,pass
HumanEval/73,2,pass
HumanEval/74,4,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,5,fail
HumanEval/78,5,fail
HumanEval/79,5,pass
HumanEval/80,5,fail
HumanEval/81,5,fail
HumanEval/82,3,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,4,pass
HumanEval/86,5,fail
HumanEval/87,3,pass
HumanEval/88,5,fail
HumanEval/89,5,fail
HumanEval/90,5,fail
HumanEval/91,5,fail
HumanEval/92,5,fail
HumanEval/93,5,fail
HumanEval/94,5,fail
HumanEval/95,5,fail
HumanEval/96,0,pass
HumanEval/97,1,pass
HumanEval/98,3,pass
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,5,fail
HumanEval/103,3,pass
HumanEval/104,5,fail
HumanEval/105,5,pass
HumanEval/106,5,fail
HumanEval/107,2,pass
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,5,fail
HumanEval/111,5,fail
HumanEval/112,1,pass
HumanEval/113,5,fail
HumanEval/114,5,fail
HumanEval/115,5,fail
HumanEval/116,5,fail
HumanEval/117,5,fail
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,5,fail
HumanEval/121,5,fail
HumanEval/122,1,pass
HumanEval/123,5,fail
HumanEval/124,0,pass
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,0,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,5,fail
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,5,pass
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,5,fail
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,4,pass
HumanEval/143,3,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,3,pass
HumanEval/148,5,fail
HumanEval/149,2,pass
HumanEval/150,5,fail
HumanEval/151,5,fail
HumanEval/152,0,pass
HumanEval/153,5,fail
HumanEval/154,5,fail
HumanEval/155,4,pass
HumanEval/156,5,fail
HumanEval/157,0,pass
HumanEval/158,3,pass
HumanEval/159,0,pass
HumanEval/160,4,pass
HumanEval/161,5,fail
HumanEval/162,5,fail
HumanEval/163,5,fail
