task_id,fix_mode_attempt_count,status
HumanEval/0,5,fail
HumanEval/1,5,fail
HumanEval/2,3,pass
HumanEval/3,5,fail
HumanEval/4,5,fail
HumanEval/5,3,pass
HumanEval/6,5,fail
HumanEval/7,5,fail
HumanEval/8,5,fail
HumanEval/9,5,fail
HumanEval/10,5,fail
HumanEval/11,5,fail
HumanEval/12,5,fail
HumanEval/13,5,fail
HumanEval/14,5,fail
HumanEval/15,5,fail
HumanEval/16,5,fail
HumanEval/17,5,fail
HumanEval/18,5,fail
HumanEval/19,5,fail
HumanEval/20,5,fail
HumanEval/21,5,fail
HumanEval/22,5,fail
HumanEval/23,0,pass
HumanEval/24,5,fail
HumanEval/25,5,fail
HumanEval/26,5,fail
HumanEval/27,5,fail
HumanEval/28,5,fail
HumanEval/29,5,fail
HumanEval/30,0,pass
HumanEval/31,5,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,3,pass
HumanEval/35,3,pass
HumanEval/36,5,fail
HumanEval/37,5,fail
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,5,fail
HumanEval/41,5,fail
HumanEval/42,4,pass
HumanEval/43,5,fail
HumanEval/44,5,fail
HumanEval/45,3,pass
HumanEval/46,5,fail
HumanEval/47,5,fail
HumanEval/48,0,pass
HumanEval/49,5,fail
HumanEval/50,5,fail
HumanEval/51,5,fail
HumanEval/52,5,pass
HumanEval/53,1,pass
HumanEval/54,0,pass
HumanEval/55,4,pass
HumanEval/56,5,fail
HumanEval/57,5,fail
HumanEval/58,5,fail
HumanEval/59,5,fail
HumanEval/60,0,pass
HumanEval/61,5,fail
HumanEval/62,5,fail
HumanEval/63,5,fail
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,3,pass
HumanEval/67,5,fail
HumanEval/68,5,fail
HumanEval/69,5,fail
HumanEval/70,5,fail
HumanEval/71,5,fail
HumanEval/72,5,fail
HumanEval/73,5,fail
HumanEval/74,5,fail
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,5,fail
HumanEval/78,5,fail
HumanEval/79,5,fail
HumanEval/80,5,fail
HumanEval/81,5,fail
HumanEval/82,5,fail
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,5,fail
HumanEval/86,5,fail
HumanEval/87,5,fail
HumanEval/88,5,fail
HumanEval/89,5,fail
HumanEval/90,5,fail
HumanEval/91,5,fail
HumanEval/92,5,fail
HumanEval/93,5,fail
HumanEval/94,5,fail
HumanEval/95,5,fail
HumanEval/96,5,fail
HumanEval/97,5,fail
HumanEval/98,5,fail
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,5,fail
HumanEval/103,5,fail
HumanEval/104,5,fail
HumanEval/105,5,fail
HumanEval/106,5,fail
HumanEval/107,5,fail
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,5,fail
HumanEval/111,5,fail
HumanEval/112,5,fail
HumanEval/113,5,fail
HumanEval/114,5,fail
HumanEval/115,5,fail
HumanEval/116,5,fail
HumanEval/117,5,fail
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,5,fail
HumanEval/121,5,fail
HumanEval/122,5,fail
HumanEval/123,5,fail
HumanEval/124,5,fail
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,5,fail
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,5,fail
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,5,fail
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,5,fail
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,5,fail
HumanEval/143,5,fail
HumanEval/144,5,fail
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,5,fail
HumanEval/148,5,fail
HumanEval/149,5,fail
HumanEval/150,5,fail
HumanEval/151,5,fail
HumanEval/152,0,pass
HumanEval/153,5,fail
HumanEval/154,5,fail
HumanEval/155,5,fail
HumanEval/156,5,fail
HumanEval/157,5,fail
HumanEval/158,5,fail
HumanEval/159,5,fail
HumanEval/160,5,fail
HumanEval/161,5,fail
HumanEval/162,1,pass
HumanEval/163,5,fail
