task_id,fix_mode_attempt_count,status
HumanEval/0,0,pass
HumanEval/1,3,pass
HumanEval/2,0,pass
HumanEval/3,5,fail
HumanEval/4,0,pass
HumanEval/5,0,pass
HumanEval/6,0,pass
HumanEval/7,0,pass
HumanEval/8,0,pass
HumanEval/9,1,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,1,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,0,pass
HumanEval/19,0,pass
HumanEval/20,0,pass
HumanEval/21,0,pass
HumanEval/22,0,pass
HumanEval/23,0,pass
HumanEval/24,0,pass
HumanEval/25,0,pass
HumanEval/26,5,fail
HumanEval/27,1,pass
HumanEval/28,0,pass
HumanEval/29,0,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,5,fail
HumanEval/38,1,pass
HumanEval/39,0,pass
HumanEval/40,0,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,1,pass
HumanEval/44,5,fail
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,1,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,5,fail
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,3,pass
HumanEval/58,0,pass
HumanEval/59,0,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,0,pass
HumanEval/64,0,pass
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,0,pass
HumanEval/68,0,pass
HumanEval/69,0,pass
HumanEval/70,3,pass
HumanEval/71,0,pass
HumanEval/72,1,pass
HumanEval/73,0,pass
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,2,pass
HumanEval/78,0,pass
HumanEval/79,0,pass
HumanEval/80,5,fail
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,5,fail
HumanEval/88,0,pass
HumanEval/89,2,pass
HumanEval/90,0,pass
HumanEval/91,5,fail
HumanEval/92,4,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,0,pass
HumanEval/96,0,pass
HumanEval/97,4,pass
HumanEval/98,5,fail
HumanEval/99,1,pass
HumanEval/100,5,fail
HumanEval/101,0,pass
HumanEval/102,5,fail
HumanEval/103,5,fail
HumanEval/104,0,pass
HumanEval/105,0,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,4,pass
HumanEval/109,5,fail
HumanEval/110,0,pass
HumanEval/111,2,pass
HumanEval/112,0,pass
HumanEval/113,0,pass
HumanEval/114,3,pass
HumanEval/115,5,pass
HumanEval/116,5,fail
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,5,fail
HumanEval/121,5,fail
HumanEval/122,0,pass
HumanEval/123,0,pass
HumanEval/124,3,pass
HumanEval/125,5,fail
HumanEval/126,4,pass
HumanEval/127,0,pass
HumanEval/128,5,fail
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,0,pass
HumanEval/136,0,pass
HumanEval/137,5,fail
HumanEval/138,4,pass
HumanEval/139,0,pass
HumanEval/140,5,fail
HumanEval/141,0,pass
HumanEval/142,1,pass
HumanEval/143,0,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,4,pass
HumanEval/148,5,fail
HumanEval/149,1,pass
HumanEval/150,0,pass
HumanEval/151,0,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,0,pass
HumanEval/157,0,pass
HumanEval/158,0,pass
HumanEval/159,5,fail
HumanEval/160,5,fail
HumanEval/161,2,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
