task_id,fix_mode_attempt_count,status
HumanEval/0,1,pass
HumanEval/1,5,fail
HumanEval/2,1,pass
HumanEval/3,5,pass
HumanEval/4,1,pass
HumanEval/5,1,pass
HumanEval/6,5,fail
HumanEval/7,2,pass
HumanEval/8,2,pass
HumanEval/9,5,fail
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,2,pass
HumanEval/13,0,pass
HumanEval/14,5,fail
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,0,pass
HumanEval/19,5,fail
HumanEval/20,5,fail
HumanEval/21,1,pass
HumanEval/22,2,pass
HumanEval/23,0,pass
HumanEval/24,5,fail
HumanEval/25,1,pass
HumanEval/26,3,pass
HumanEval/27,0,pass
HumanEval/28,1,pass
HumanEval/29,1,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,5,fail
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,0,pass
HumanEval/41,5,fail
HumanEval/42,3,pass
HumanEval/43,2,pass
HumanEval/44,5,fail
HumanEval/45,0,pass
HumanEval/46,5,fail
HumanEval/47,0,pass
HumanEval/48,1,pass
HumanEval/49,0,pass
HumanEval/50,0,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,0,pass
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,1,pass
HumanEval/58,0,pass
HumanEval/59,5,fail
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,1,pass
HumanEval/63,5,fail
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,5,pass
HumanEval/67,0,pass
HumanEval/68,5,fail
HumanEval/69,5,fail
HumanEval/70,5,fail
HumanEval/71,1,pass
HumanEval/72,0,pass
HumanEval/73,1,pass
HumanEval/74,5,fail
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,5,fail
HumanEval/78,5,fail
HumanEval/79,1,pass
HumanEval/80,5,fail
HumanEval/81,0,pass
HumanEval/82,2,pass
HumanEval/83,5,fail
HumanEval/84,4,pass
HumanEval/85,0,pass
HumanEval/86,1,pass
HumanEval/87,1,pass
HumanEval/88,5,fail
HumanEval/89,4,pass
HumanEval/90,5,pass
HumanEval/91,5,fail
HumanEval/92,5,fail
HumanEval/93,5,fail
HumanEval/94,4,pass
HumanEval/95,5,fail
HumanEval/96,3,pass
HumanEval/97,0,pass
HumanEval/98,0,pass
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,5,fail
HumanEval/102,5,fail
HumanEval/103,0,pass
HumanEval/104,0,pass
HumanEval/105,5,fail
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,5,fail
HumanEval/111,5,fail
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,0,pass
HumanEval/115,4,pass
HumanEval/116,5,fail
HumanEval/117,5,fail
HumanEval/118,5,fail
HumanEval/119,5,fail
HumanEval/120,5,fail
HumanEval/121,0,pass
HumanEval/122,1,pass
HumanEval/123,1,pass
HumanEval/124,3,pass
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,5,fail
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,1,pass
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,5,fail
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,3,pass
HumanEval/140,5,fail
HumanEval/141,0,pass
HumanEval/142,0,pass
HumanEval/143,0,pass
HumanEval/144,5,fail
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,0,pass
HumanEval/148,5,fail
HumanEval/149,4,pass
HumanEval/150,0,pass
HumanEval/151,0,pass
HumanEval/152,0,pass
HumanEval/153,2,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,5,fail
HumanEval/157,5,fail
HumanEval/158,3,pass
HumanEval/159,5,fail
HumanEval/160,5,fail
HumanEval/161,5,fail
HumanEval/162,0,pass
HumanEval/163,5,fail
