task_id,fix_mode_attempt_count,status
1,5,fail
2,0,pass
3,0,pass
4,0,pass
5,5,fail
6,0,pass
7,0,pass
8,0,pass
9,5,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,0,pass
15,5,fail
16,5,fail
17,0,pass
18,0,pass
19,0,pass
20,0,pass
21,0,pass
22,1,pass
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,4,pass
34,0,pass
35,5,pass
36,0,pass
37,5,fail
38,0,pass
39,5,fail
40,0,pass
41,0,pass
42,1,pass
43,1,pass
44,0,pass
45,0,pass
46,0,pass
47,5,fail
48,5,fail
49,0,pass
50,5,fail
51,0,pass
52,0,pass
53,1,pass
54,0,pass
55,0,pass
56,0,pass
57,0,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,1,pass
65,5,fail
66,0,pass
67,5,fail
68,0,pass
69,0,pass
70,5,pass
71,0,pass
72,0,pass
73,5,pass
74,0,pass
75,5,fail
76,0,pass
77,5,fail
78,1,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,2,pass
88,0,pass
89,0,pass
90,0,pass
91,0,pass
92,5,fail
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,0,pass
102,1,pass
103,0,pass
104,3,pass
105,0,pass
106,5,fail
107,5,fail
108,5,fail
109,1,pass
110,5,fail
111,3,pass
112,5,fail
113,0,pass
114,5,fail
115,0,pass
116,0,pass
117,1,pass
118,0,pass
119,1,pass
120,0,pass
121,0,pass
122,5,fail
123,4,pass
124,5,fail
125,5,fail
126,0,pass
127,0,pass
128,0,pass
129,0,pass
130,2,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,5,fail
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,5,fail
143,5,fail
144,1,pass
145,5,fail
146,5,fail
147,5,fail
148,5,fail
149,1,pass
150,1,pass
151,0,pass
152,5,fail
153,0,pass
154,0,pass
155,5,fail
156,0,pass
157,5,fail
158,5,fail
159,1,pass
160,5,fail
161,0,pass
162,3,pass
163,0,pass
164,0,pass
165,0,pass
166,0,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,2,pass
179,1,pass
180,5,fail
181,0,pass
182,5,fail
183,5,fail
184,5,fail
185,0,pass
186,2,pass
187,1,pass
188,5,fail
189,5,fail
190,5,fail
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,5,fail
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,5,fail
203,0,pass
204,0,pass
205,5,fail
206,0,pass
207,0,pass
208,0,pass
209,0,pass
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,1,pass
217,2,pass
218,5,fail
219,5,fail
220,2,pass
221,0,pass
222,0,pass
223,0,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,0,pass
229,3,pass
230,0,pass
