task_id,fix_mode_attempt_count,status,error_trace
0,1,pass,[[None]]
1,0,pass,[]
2,0,pass,[]
3,1,pass,[[None]]
4,1,pass,[[None]]
5,1,pass,[[None]]
6,0,pass,[]
7,1,pass,[[None]]
8,0,pass,[]
9,0,pass,[]
10,5,fail,"[[None], [None], [None], [None], [None]]"
11,0,pass,[]
12,1,pass,[[None]]
13,0,pass,[]
14,1,pass,[[None]]
15,0,pass,[]
16,0,pass,[]
17,1,pass,[[None]]
18,0,pass,[]
19,0,pass,[]
20,1,pass,[[None]]
21,1,pass,[[None]]
22,1,pass,[[None]]
23,0,pass,[]
24,0,pass,[]
25,1,pass,[[None]]
26,5,fail,"[[None], [None], [None], [None], [None]]"
27,0,pass,[]
28,1,pass,[[None]]
29,0,pass,[]
30,0,pass,[]
31,0,pass,[]
32,5,fail,"[[None], [None], [None], [None], [None]]"
33,0,pass,[]
34,0,pass,[]
35,0,pass,[]
36,0,pass,[]
37,0,pass,[]
38,1,pass,[[None]]
39,0,pass,[]
40,0,pass,[]
41,0,pass,[]
42,0,pass,[]
43,0,pass,[]
44,0,pass,[]
45,0,pass,[]
46,0,pass,[]
47,0,pass,[]
48,0,pass,[]
49,0,pass,[]
50,1,pass,[[None]]
51,0,pass,[]
52,0,pass,[]
53,0,pass,[]
54,0,pass,[]
55,0,pass,[]
56,0,pass,[]
57,0,pass,[]
58,0,pass,[]
59,0,pass,[]
60,0,pass,[]
61,0,pass,[]
62,1,pass,[[None]]
63,0,pass,[]
64,0,pass,[]
65,5,fail,"[[None], [None], [None], [None], [None]]"
66,0,pass,[]
67,0,pass,[]
68,0,pass,[]
69,0,pass,[]
70,0,pass,[]
71,0,pass,[]
72,0,pass,[]
73,0,pass,[]
74,0,pass,[]
75,0,pass,[]
76,5,fail,"[[None], [None], [None], [None], [None]]"
77,1,pass,[[None]]
78,0,pass,[]
79,0,pass,[]
80,0,pass,[]
81,5,fail,"[[None], [None], [None], [None], [None]]"
82,0,pass,[]
83,0,pass,[]
84,0,pass,[]
85,0,pass,[]
86,0,pass,[]
87,0,pass,[]
88,0,pass,[]
89,1,pass,[[None]]
90,0,pass,[]
91,5,fail,"[[None], [None], [None], [None], [None]]"
92,0,pass,[]
93,0,pass,[]
94,0,pass,[]
95,0,pass,[]
96,5,fail,"[[None], [None], [None], [None], [None]]"
97,0,pass,[]
98,0,pass,[]
99,0,pass,[]
100,0,pass,[]
101,0,pass,[]
102,0,pass,[]
103,0,pass,[]
104,0,pass,[]
105,0,pass,[]
106,0,pass,[]
107,0,pass,[]
108,0,pass,[]
109,0,pass,[]
110,0,pass,[]
111,0,pass,[]
112,0,pass,[]
113,5,fail,"[[None], [None], [None], [None], [None]]"
114,0,pass,[]
115,4,pass,"[[None], [None], [None], [None]]"
116,0,pass,[]
117,0,pass,[]
118,0,pass,[]
119,0,pass,[]
120,0,pass,[]
121,0,pass,[]
122,0,pass,[]
123,0,pass,[]
124,0,pass,[]
125,5,fail,"[[None], [None], [None], [None], [None]]"
126,5,fail,"[[None], [None], [None], [None], [None]]"
127,5,fail,"[[None], [None], [None], [None], [None]]"
128,0,pass,[]
129,5,fail,"[[None], [None], [None], [None], [None]]"
130,5,fail,"[[None], [None], [None], [None], [None]]"
131,5,fail,"[[None], [None], [None], [None], [None]]"
132,5,fail,"[[None], [None], [None], [None], [None]]"
133,0,pass,[]
134,5,fail,"[[None], [None], [None], [None], [None]]"
135,0,pass,[]
136,0,pass,[]
137,0,pass,[]
138,0,pass,[]
139,0,pass,[]
140,2,pass,"[[None], [None]]"
141,0,pass,[]
142,0,pass,[]
143,0,pass,[]
144,0,pass,[]
145,5,fail,"[[None], [None], [None], [None], [None]]"
146,0,pass,[]
147,0,pass,[]
148,0,pass,[]
149,0,pass,[]
150,0,pass,[]
151,0,pass,[]
152,0,pass,[]
153,0,pass,[]
154,0,pass,[]
155,0,pass,[]
156,0,pass,[]
157,0,pass,[]
158,0,pass,[]
159,0,pass,[]
160,5,fail,"[[None], [None], [None], [None], [None]]"
161,0,pass,[]
162,0,pass,[]
163,5,fail,"[[None], [None], [None], [None], [None]]"
