task_id,fix_mode_attempt_count,status,error_trace
1,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
2,0,pass,[]
3,0,pass,[]
4,0,pass,[]
5,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
6,0,pass,[]
7,0,pass,[]
8,0,pass,[]
9,0,pass,[]
10,0,pass,[]
11,0,pass,[]
12,0,pass,[]
13,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
14,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
15,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
16,3,pass,"[['AssertionError'], ['AssertionError'], ['AssertionError']]"
17,0,pass,[]
18,0,pass,[]
19,0,pass,[]
20,0,pass,[]
21,0,pass,[]
22,1,pass,[['AssertionError']]
23,0,pass,[]
24,1,pass,[['AssertionError']]
25,0,pass,[]
26,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
27,0,pass,[]
28,0,pass,[]
29,0,pass,[]
30,0,pass,[]
31,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
32,0,pass,[]
33,1,pass,[['AssertionError']]
34,0,pass,[]
35,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
36,0,pass,[]
37,0,pass,[]
38,0,pass,[]
39,1,pass,[['UnboundLocalError']]
40,0,pass,[]
41,0,pass,[]
42,0,pass,[]
43,2,pass,"[['AssertionError'], ['AssertionError']]"
44,0,pass,[]
45,0,pass,[]
46,0,pass,[]
47,0,pass,[]
48,0,pass,[]
49,0,pass,[]
50,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
51,1,pass,[['AssertionError']]
52,0,pass,[]
53,1,pass,[['AssertionError']]
54,0,pass,[]
55,0,pass,[]
56,0,pass,[]
57,0,pass,[]
58,0,pass,[]
59,0,pass,[]
60,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
61,1,pass,[['AssertionError']]
62,0,pass,[]
63,0,pass,[]
64,0,pass,[]
65,0,pass,[]
66,0,pass,[]
67,1,pass,[['AssertionError']]
68,0,pass,[]
69,0,pass,[]
70,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
71,0,pass,[]
72,0,pass,[]
73,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
74,0,pass,[]
75,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['TypeError'], ['AssertionError']]"
76,0,pass,[]
77,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
78,0,pass,[]
79,0,pass,[]
80,0,pass,[]
81,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
82,0,pass,[]
83,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
84,0,pass,[]
85,0,pass,[]
86,0,pass,[]
87,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
88,0,pass,[]
89,0,pass,[]
90,0,pass,[]
91,0,pass,[]
92,0,pass,[]
93,0,pass,[]
94,1,pass,[['AssertionError']]
95,0,pass,[]
96,0,pass,[]
97,0,pass,[]
98,0,pass,[]
99,0,pass,[]
100,0,pass,[]
101,0,pass,[]
102,4,pass,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
103,0,pass,[]
104,1,pass,[['AssertionError']]
105,0,pass,[]
106,1,pass,[['AssertionError']]
107,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
108,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
109,0,pass,[]
110,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
111,0,pass,[]
112,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
113,0,pass,[]
114,3,pass,"[['AssertionError'], ['AssertionError'], ['AssertionError']]"
115,5,fail,"[['ValueError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
116,0,pass,[]
117,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
118,0,pass,[]
119,0,pass,[]
120,0,pass,[]
121,5,fail,"[['TypeError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['TypeError']]"
122,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
123,0,pass,[]
124,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
125,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
126,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
127,0,pass,[]
128,0,pass,[]
129,5,fail,"[['TypeError'], ['TypeError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
130,1,pass,[['AssertionError']]
131,0,pass,[]
132,0,pass,[]
133,0,pass,[]
134,1,pass,[['AssertionError']]
135,0,pass,[]
136,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
137,3,pass,"[['AssertionError'], ['AssertionError'], ['AssertionError']]"
138,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
139,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
140,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
141,0,pass,[]
142,0,pass,[]
143,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
144,1,pass,[['AssertionError']]
145,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
146,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
147,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
148,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
149,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
150,0,pass,[]
151,0,pass,[]
152,0,pass,[]
153,0,pass,[]
154,0,pass,[]
155,5,fail,"[['AssertionError'], ['Infinite Loop'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
156,0,pass,[]
157,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
158,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
159,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
160,5,fail,"[['ValueError'], ['NameError'], ['ValueError'], ['AssertionError'], ['AssertionError']]"
161,0,pass,[]
162,0,pass,[]
163,0,pass,[]
164,0,pass,[]
165,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
166,0,pass,[]
167,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
168,0,pass,[]
169,0,pass,[]
170,0,pass,[]
171,0,pass,[]
172,0,pass,[]
173,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
174,0,pass,[]
175,0,pass,[]
176,0,pass,[]
177,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
178,3,pass,"[['AssertionError'], ['AssertionError'], ['AssertionError']]"
179,0,pass,[]
180,5,fail,"[['AssertionError'], ['ModuleNotFoundError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
181,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
182,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
183,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
184,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
185,0,pass,[]
186,2,pass,"[['AssertionError'], ['AssertionError']]"
187,0,pass,[]
188,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
189,5,fail,"[['TypeError'], ['TypeError'], ['TypeError'], ['TypeError'], ['TypeError']]"
190,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError']]"
191,0,pass,[]
192,0,pass,[]
193,0,pass,[]
194,0,pass,[]
