task_id,fix_mode_attempt_count,status
1,4,pass
2,0,pass
3,0,pass
4,1,pass
5,5,fail
6,0,pass
7,0,pass
8,1,pass
9,1,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,0,pass
15,5,fail
16,5,fail
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,1,pass
22,5,fail
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,0,pass
28,0,pass
29,0,pass
30,2,pass
31,5,fail
32,0,pass
33,3,pass
34,3,pass
35,5,fail
36,1,pass
37,0,pass
38,1,pass
39,5,fail
40,0,pass
41,1,pass
42,1,pass
43,5,pass
44,5,fail
45,0,pass
46,1,pass
47,1,pass
48,1,pass
49,0,pass
50,1,pass
51,1,pass
52,0,pass
53,3,pass
54,2,pass
55,0,pass
56,0,pass
57,1,pass
58,0,pass
59,0,pass
60,5,fail
61,1,pass
62,0,pass
63,1,pass
64,1,pass
65,1,pass
66,0,pass
67,4,pass
68,1,pass
69,1,pass
70,5,fail
71,0,pass
72,0,pass
73,0,pass
74,3,pass
75,5,fail
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,5,fail
88,1,pass
89,0,pass
90,1,pass
91,1,pass
92,2,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,5,pass
102,1,pass
103,0,pass
104,3,pass
105,0,pass
106,1,pass
107,5,fail
108,1,pass
109,0,pass
110,5,fail
111,3,pass
112,5,fail
113,0,pass
114,5,fail
115,0,pass
116,0,pass
117,5,fail
118,1,pass
119,1,pass
120,0,pass
121,5,fail
122,5,fail
123,0,pass
124,5,fail
125,0,pass
126,2,pass
127,0,pass
128,0,pass
129,0,pass
130,3,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,5,fail
138,5,fail
139,5,fail
140,5,fail
141,1,pass
142,0,pass
143,5,fail
144,0,pass
145,0,pass
146,5,fail
147,5,fail
148,5,fail
149,5,pass
150,1,pass
151,0,pass
152,1,pass
153,0,pass
154,1,pass
155,4,pass
156,0,pass
157,1,pass
158,5,fail
159,3,pass
160,5,fail
161,0,pass
162,0,pass
163,2,pass
164,0,pass
165,0,pass
166,1,pass
167,0,pass
168,0,pass
169,0,pass
170,1,pass
171,0,pass
172,0,pass
173,2,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,5,fail
179,0,pass
180,5,fail
181,1,pass
182,1,pass
183,5,fail
184,5,fail
185,0,pass
186,5,fail
187,1,pass
188,5,fail
189,1,pass
190,0,pass
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,0,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,0,pass
203,0,pass
204,0,pass
205,5,fail
206,1,pass
207,0,pass
208,0,pass
209,3,pass
210,0,pass
211,5,pass
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,5,pass
218,5,fail
219,5,fail
220,5,fail
221,1,pass
222,0,pass
223,2,pass
224,0,pass
225,1,pass
226,0,pass
227,0,pass
228,5,pass
229,5,fail
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,3,pass
238,0,pass
239,5,fail
240,0,pass
241,0,pass
242,0,pass
243,5,fail
244,1,pass
245,0,pass
246,0,pass
247,0,pass
248,2,pass
249,1,pass
250,0,pass
251,0,pass
252,0,pass
253,1,pass
254,5,fail
255,1,pass
256,0,pass
257,0,pass
258,0,pass
259,0,pass
260,5,fail
261,0,pass
262,1,pass
263,0,pass
264,1,pass
265,0,pass
266,0,pass
267,1,pass
268,2,pass
269,0,pass
270,1,pass
271,0,pass
272,0,pass
273,0,pass
274,0,pass
275,5,fail
276,5,fail
277,0,pass
278,2,pass
279,0,pass
280,5,fail
281,1,pass
282,0,pass
283,0,pass
284,0,pass
285,5,fail
286,2,pass
287,2,pass
288,5,pass
289,4,pass
290,5,fail
291,0,pass
292,1,pass
293,1,pass
294,1,pass
295,1,pass
296,1,pass
297,1,pass
298,5,fail
299,5,pass
300,0,pass
301,1,pass
302,2,pass
303,5,fail
304,5,fail
305,1,pass
306,5,fail
307,5,fail
308,0,pass
309,0,pass
310,5,fail
311,5,pass
312,5,fail
313,5,fail
314,0,pass
315,5,fail
316,1,pass
317,1,pass
318,4,pass
319,0,pass
320,0,pass
321,5,fail
322,0,pass
323,2,pass
324,3,pass
325,0,pass
326,0,pass
327,3,pass
328,5,fail
329,1,pass
330,0,pass
331,1,pass
332,0,pass
333,0,pass
334,0,pass
335,2,pass
336,1,pass
337,5,fail
338,0,pass
339,0,pass
340,0,pass
341,0,pass
342,5,pass
343,5,fail
344,1,pass
345,1,pass
346,5,fail
347,2,pass
348,5,fail
349,1,pass
350,0,pass
351,5,fail
352,0,pass
353,0,pass
354,0,pass
355,5,fail
356,0,pass
357,0,pass
358,1,pass
359,3,pass
360,0,pass
361,2,pass
362,1,pass
363,0,pass
364,0,pass
365,0,pass
366,0,pass
367,5,fail
368,1,pass
369,0,pass
370,5,pass
371,1,pass
372,1,pass
373,0,pass
374,5,fail
375,1,pass
376,5,fail
377,0,pass
378,1,pass
379,0,pass
380,5,fail
381,1,pass
382,1,pass
383,0,pass
384,1,pass
385,0,pass
386,2,pass
387,0,pass
388,0,pass
389,0,pass
390,3,pass
391,5,fail
392,0,pass
393,1,pass
394,0,pass
395,0,pass
396,5,fail
397,0,pass
398,5,fail
399,0,pass
400,5,fail
401,0,pass
402,0,pass
403,0,pass
404,0,pass
405,0,pass
406,1,pass
407,3,pass
408,3,pass
409,0,pass
410,2,pass
411,5,pass
412,1,pass
413,0,pass
414,1,pass
415,5,fail
416,0,pass
417,5,fail
418,0,pass
419,1,pass
420,0,pass
421,1,pass
422,0,pass
423,0,pass
424,1,pass
425,0,pass
426,1,pass
427,0,pass
428,5,fail
429,4,pass
430,5,fail
431,5,fail
432,0,pass
433,5,fail
