task_id,fix_mode_attempt_count,status
HumanEval/0,1,pass
HumanEval/1,1,pass
HumanEval/2,0,pass
HumanEval/3,1,pass
HumanEval/4,1,pass
HumanEval/5,1,pass
HumanEval/6,1,pass
HumanEval/7,1,pass
HumanEval/8,1,pass
HumanEval/9,1,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,1,pass
HumanEval/18,0,pass
HumanEval/19,0,pass
HumanEval/20,1,pass
HumanEval/21,1,pass
HumanEval/22,1,pass
HumanEval/23,0,pass
HumanEval/24,0,pass
HumanEval/25,1,pass
HumanEval/26,5,pass
HumanEval/27,0,pass
HumanEval/28,1,pass
HumanEval/29,1,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,4,pass
HumanEval/33,0,pass
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,0,pass
HumanEval/38,2,pass
HumanEval/39,0,pass
HumanEval/40,0,pass
HumanEval/41,0,pass
HumanEval/42,0,pass
HumanEval/43,0,pass
HumanEval/44,0,pass
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,1,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,0,pass
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,0,pass
HumanEval/58,0,pass
HumanEval/59,0,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,2,pass
HumanEval/63,0,pass
HumanEval/64,0,pass
HumanEval/65,5,pass
HumanEval/66,0,pass
HumanEval/67,0,pass
HumanEval/68,0,pass
HumanEval/69,0,pass
HumanEval/70,0,pass
HumanEval/71,0,pass
HumanEval/72,0,pass
HumanEval/73,0,pass
HumanEval/74,0,pass
HumanEval/75,1,pass
HumanEval/76,0,pass
HumanEval/77,2,pass
HumanEval/78,0,pass
HumanEval/79,0,pass
HumanEval/80,0,pass
HumanEval/81,0,pass
HumanEval/82,0,pass
HumanEval/83,2,pass
HumanEval/84,0,pass
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,0,pass
HumanEval/88,0,pass
HumanEval/89,0,pass
HumanEval/90,0,pass
HumanEval/91,0,pass
HumanEval/92,0,pass
HumanEval/93,0,pass
HumanEval/94,0,pass
HumanEval/95,0,pass
HumanEval/96,0,pass
HumanEval/97,0,pass
HumanEval/98,0,pass
HumanEval/99,0,pass
HumanEval/100,1,pass
HumanEval/101,5,fail
HumanEval/102,0,pass
HumanEval/103,0,pass
HumanEval/104,0,pass
HumanEval/105,0,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,0,pass
HumanEval/109,0,pass
HumanEval/110,0,pass
HumanEval/111,0,pass
HumanEval/112,0,pass
HumanEval/113,0,pass
HumanEval/114,0,pass
HumanEval/115,0,pass
HumanEval/116,0,pass
HumanEval/117,0,pass
HumanEval/118,0,pass
HumanEval/119,1,pass
HumanEval/120,0,pass
HumanEval/121,0,pass
HumanEval/122,0,pass
HumanEval/123,0,pass
HumanEval/124,0,pass
HumanEval/125,0,pass
HumanEval/126,1,pass
HumanEval/127,3,pass
HumanEval/128,0,pass
HumanEval/129,1,pass
HumanEval/130,5,fail
HumanEval/131,0,pass
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,3,pass
HumanEval/136,0,pass
HumanEval/137,0,pass
HumanEval/138,0,pass
HumanEval/139,0,pass
HumanEval/140,0,pass
HumanEval/141,0,pass
HumanEval/142,0,pass
HumanEval/143,0,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,0,pass
HumanEval/147,0,pass
HumanEval/148,0,pass
HumanEval/149,0,pass
HumanEval/150,0,pass
HumanEval/151,0,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,0,pass
HumanEval/157,0,pass
HumanEval/158,0,pass
HumanEval/159,0,pass
HumanEval/160,5,fail
HumanEval/161,0,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
