task_id,fix_mode_attempt_count,status
1,5,fail
2,0,pass
3,0,pass
4,1,pass
5,5,fail
6,0,pass
7,0,pass
8,1,pass
9,0,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,0,pass
15,2,pass
16,5,fail
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,0,pass
22,2,pass
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,1,pass
28,0,pass
29,0,pass
30,1,pass
31,5,fail
32,0,pass
33,5,fail
34,5,fail
35,5,fail
36,5,fail
37,0,pass
38,0,pass
39,4,pass
40,1,pass
41,0,pass
42,1,pass
43,0,pass
44,2,pass
45,0,pass
46,0,pass
47,0,pass
48,0,pass
49,0,pass
50,1,pass
51,1,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,1,pass
58,0,pass
59,0,pass
60,5,fail
61,5,fail
62,0,pass
63,0,pass
64,1,pass
65,1,pass
66,1,pass
67,5,fail
68,1,pass
69,1,pass
70,5,fail
71,5,fail
72,0,pass
73,5,fail
74,0,pass
75,5,fail
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,3,pass
88,1,pass
89,0,pass
90,1,pass
91,1,pass
92,1,pass
93,0,pass
94,2,pass
95,0,pass
96,0,pass
97,1,pass
98,0,pass
99,0,pass
100,0,pass
101,3,pass
102,1,pass
103,5,fail
104,0,pass
105,0,pass
106,4,pass
107,5,fail
108,5,fail
109,5,fail
110,5,fail
111,5,fail
112,5,fail
113,0,pass
114,5,fail
115,0,pass
116,0,pass
117,5,pass
118,1,pass
119,0,pass
120,0,pass
121,4,pass
122,5,fail
123,0,pass
124,5,fail
125,0,pass
126,0,pass
127,0,pass
128,0,pass
129,1,pass
130,2,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,2,pass
138,5,fail
139,5,fail
140,5,fail
141,1,pass
142,5,fail
143,5,fail
144,0,pass
145,0,pass
146,5,fail
147,5,fail
148,5,fail
149,5,fail
150,5,fail
151,0,pass
152,2,pass
153,0,pass
154,5,fail
155,0,pass
156,0,pass
157,5,fail
158,5,fail
159,5,fail
160,5,fail
161,1,pass
162,0,pass
163,0,pass
164,5,fail
165,3,pass
166,5,fail
167,0,pass
168,1,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,5,fail
176,0,pass
177,5,fail
178,3,pass
179,0,pass
180,5,fail
181,0,pass
182,1,pass
183,5,fail
184,3,pass
185,5,fail
186,2,pass
187,1,pass
188,5,fail
189,3,pass
190,4,pass
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,0,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,5,fail
206,1,pass
207,0,pass
208,0,pass
209,5,fail
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,2,pass
215,0,pass
216,5,fail
217,2,pass
218,5,fail
219,5,fail
220,0,pass
221,0,pass
222,0,pass
223,1,pass
224,0,pass
225,3,pass
226,0,pass
227,0,pass
228,5,fail
229,5,fail
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,5,fail
238,0,pass
239,5,fail
240,1,pass
241,0,pass
242,0,pass
243,5,fail
244,1,pass
245,5,fail
246,0,pass
247,0,pass
248,0,pass
249,0,pass
250,0,pass
251,5,fail
252,0,pass
253,0,pass
254,5,fail
255,1,pass
256,0,pass
257,1,pass
258,1,pass
259,0,pass
260,5,fail
261,0,pass
262,0,pass
263,0,pass
264,5,fail
265,5,fail
266,0,pass
267,0,pass
268,0,pass
269,0,pass
270,1,pass
271,0,pass
272,1,pass
273,0,pass
274,0,pass
275,5,fail
276,5,fail
277,0,pass
278,0,pass
279,0,pass
280,1,pass
281,1,pass
282,1,pass
283,0,pass
284,1,pass
285,2,pass
286,1,pass
287,0,pass
288,0,pass
289,5,fail
290,5,fail
291,1,pass
292,0,pass
293,5,fail
294,1,pass
295,5,fail
296,1,pass
297,0,pass
298,5,fail
299,5,fail
300,0,pass
301,5,fail
302,2,pass
303,0,pass
304,5,fail
305,5,fail
306,5,fail
307,5,fail
308,0,pass
309,0,pass
310,5,fail
311,5,fail
312,5,fail
313,5,fail
314,1,pass
315,4,pass
316,0,pass
317,5,fail
318,5,fail
319,0,pass
320,0,pass
321,5,fail
322,0,pass
323,3,pass
324,5,fail
325,0,pass
326,0,pass
327,1,pass
328,5,fail
329,1,pass
330,0,pass
331,0,pass
332,0,pass
333,5,fail
334,0,pass
335,0,pass
336,0,pass
337,1,pass
338,0,pass
339,5,fail
340,0,pass
341,1,pass
342,1,pass
343,5,fail
344,5,fail
345,0,pass
346,5,fail
347,0,pass
348,1,pass
349,1,pass
350,0,pass
351,1,pass
352,0,pass
353,1,pass
354,0,pass
355,5,fail
356,0,pass
357,0,pass
358,0,pass
359,1,pass
360,0,pass
361,0,pass
362,2,pass
363,1,pass
364,0,pass
365,0,pass
366,0,pass
