task_id,fix_mode_attempt_count,status
1,3,pass
2,0,pass
3,0,pass
4,3,pass
5,5,fail
6,0,pass
7,0,pass
8,1,pass
9,1,pass
10,0,pass
11,0,pass
12,0,pass
13,3,pass
14,0,pass
15,5,fail
16,5,pass
17,0,pass
18,1,pass
19,1,pass
20,0,pass
21,0,pass
22,1,pass
23,1,pass
24,0,pass
25,0,pass
26,5,fail
27,1,pass
28,0,pass
29,0,pass
30,2,pass
31,3,pass
32,0,pass
33,2,pass
34,5,fail
35,5,pass
36,3,pass
37,0,pass
38,1,pass
39,5,fail
40,0,pass
41,1,pass
42,0,pass
43,0,pass
44,2,pass
45,0,pass
46,1,pass
47,0,pass
48,1,pass
49,0,pass
50,3,pass
51,0,pass
52,0,pass
53,2,pass
54,0,pass
55,5,fail
56,0,pass
57,1,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,1,pass
63,0,pass
64,1,pass
65,1,pass
66,1,pass
67,5,fail
68,0,pass
69,0,pass
70,1,pass
71,0,pass
72,0,pass
73,0,pass
74,0,pass
75,2,pass
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,2,pass
88,0,pass
89,0,pass
90,1,pass
91,1,pass
92,5,fail
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,1,pass
101,5,fail
102,1,pass
103,5,fail
104,1,pass
105,0,pass
106,0,pass
107,5,fail
108,5,fail
109,0,pass
110,5,fail
111,0,pass
112,5,fail
113,0,pass
114,2,pass
115,0,pass
116,0,pass
117,4,pass
118,1,pass
119,0,pass
120,0,pass
121,0,pass
122,5,fail
123,0,pass
124,5,fail
125,0,pass
126,5,fail
127,0,pass
128,0,pass
129,0,pass
130,3,pass
131,5,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,1,pass
138,5,fail
139,5,fail
140,5,fail
141,1,pass
142,1,pass
143,5,fail
144,1,pass
145,4,pass
146,5,fail
147,1,pass
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,0,pass
155,5,fail
156,0,pass
157,5,fail
158,5,fail
159,4,pass
160,5,fail
161,1,pass
162,0,pass
163,0,pass
164,0,pass
165,4,pass
166,1,pass
167,0,pass
168,0,pass
169,0,pass
170,1,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,3,pass
178,1,pass
179,0,pass
180,5,fail
181,0,pass
182,5,fail
183,5,fail
184,3,pass
185,1,pass
186,1,pass
187,1,pass
188,3,pass
189,1,pass
190,1,pass
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,3,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,1,pass
202,1,pass
203,0,pass
204,0,pass
205,5,fail
206,3,pass
207,0,pass
208,0,pass
209,1,pass
210,0,pass
211,4,pass
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,2,pass
218,5,fail
219,2,pass
220,3,pass
221,1,pass
222,0,pass
223,0,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,0,pass
229,5,fail
230,0,pass
231,0,pass
232,1,pass
233,5,fail
234,0,pass
235,2,pass
236,5,fail
237,4,pass
238,0,pass
239,5,fail
240,0,pass
241,0,pass
242,0,pass
243,5,fail
244,1,pass
245,1,pass
246,0,pass
247,0,pass
248,2,pass
249,1,pass
250,0,pass
251,0,pass
252,0,pass
253,1,pass
254,3,pass
255,3,pass
256,3,pass
257,0,pass
258,0,pass
259,5,fail
260,5,fail
261,0,pass
262,0,pass
263,0,pass
264,0,pass
265,2,pass
266,0,pass
267,1,pass
268,2,pass
269,0,pass
270,0,pass
271,0,pass
272,0,pass
273,0,pass
274,0,pass
275,5,fail
276,5,fail
277,0,pass
278,0,pass
279,0,pass
280,2,pass
281,1,pass
282,0,pass
283,0,pass
284,1,pass
285,5,pass
286,0,pass
287,1,pass
288,0,pass
289,5,fail
290,5,fail
291,0,pass
292,0,pass
293,5,fail
294,0,pass
295,1,pass
296,1,pass
297,1,pass
298,2,pass
299,1,pass
300,0,pass
301,0,pass
302,0,pass
303,5,fail
304,5,fail
305,2,pass
306,5,fail
307,2,pass
308,0,pass
309,0,pass
310,5,fail
311,5,fail
312,5,fail
313,5,fail
314,0,pass
315,2,pass
316,0,pass
317,5,fail
318,2,pass
319,0,pass
320,0,pass
321,4,pass
322,0,pass
323,5,pass
324,5,fail
325,0,pass
326,0,pass
327,1,pass
328,5,fail
329,0,pass
330,0,pass
331,0,pass
332,0,pass
333,0,pass
334,0,pass
335,5,fail
336,0,pass
337,0,pass
338,0,pass
339,4,pass
340,1,pass
341,0,pass
342,5,fail
343,5,fail
344,5,fail
345,0,pass
346,5,fail
347,0,pass
348,5,fail
349,1,pass
350,0,pass
351,0,pass
352,0,pass
353,0,pass
354,0,pass
355,5,fail
356,0,pass
357,1,pass
358,1,pass
359,1,pass
360,0,pass
361,0,pass
362,1,pass
363,0,pass
364,0,pass
365,0,pass
366,0,pass
367,5,fail
368,1,pass
369,0,pass
370,2,pass
371,5,fail
372,1,pass
373,0,pass
374,5,fail
375,0,pass
376,1,pass
377,0,pass
378,1,pass
379,0,pass
380,2,pass
381,1,pass
382,1,pass
383,2,pass
384,1,pass
385,0,pass
386,5,fail
387,0,pass
388,0,pass
389,0,pass
390,0,pass
391,5,pass
392,0,pass
393,1,pass
394,0,pass
395,0,pass
396,3,pass
397,0,pass
398,3,pass
399,0,pass
400,5,fail
401,0,pass
402,0,pass
403,0,pass
404,0,pass
405,0,pass
406,1,pass
407,5,fail
408,0,pass
409,0,pass
410,0,pass
411,1,pass
412,1,pass
413,1,pass
414,1,pass
415,5,fail
416,0,pass
417,1,pass
418,0,pass
419,0,pass
420,0,pass
421,3,pass
422,0,pass
423,0,pass
424,1,pass
425,0,pass
426,1,pass
427,0,pass
428,0,pass
429,0,pass
430,5,fail
431,3,pass
432,2,pass
433,5,fail
434,2,pass
435,0,pass
436,5,fail
437,1,pass
438,5,fail
439,1,pass
440,5,fail
441,0,pass
442,2,pass
443,5,fail
444,2,pass
445,0,pass
446,1,pass
447,0,pass
448,5,fail
449,2,pass
450,1,pass
451,0,pass
452,0,pass
453,0,pass
454,3,pass
455,0,pass
456,1,pass
457,0,pass
458,0,pass
459,0,pass
460,1,pass
461,5,fail
462,5,fail
463,0,pass
464,0,pass
465,0,pass
466,2,pass
467,4,pass
468,0,pass
469,0,pass
470,2,pass
471,0,pass
472,0,pass
473,2,pass
474,0,pass
475,1,pass
476,1,pass
477,0,pass
478,0,pass
479,0,pass
480,0,pass
481,1,pass
482,1,pass
483,5,fail
484,3,pass
485,1,pass
486,0,pass
487,1,pass
488,0,pass
489,0,pass
490,3,pass
491,5,fail
492,1,pass
493,5,fail
494,2,pass
495,1,pass
496,2,pass
497,0,pass
498,0,pass
499,0,pass
500,5,fail
501,5,fail
502,0,pass
503,5,fail
504,0,pass
505,1,pass
506,0,pass
507,1,pass
508,4,pass
509,0,pass
510,5,pass
511,5,fail
512,0,pass
513,3,pass
514,0,pass
515,0,pass
516,0,pass
517,0,pass
518,2,pass
519,1,pass
520,1,pass
521,0,pass
522,1,pass
523,5,fail
524,0,pass
525,5,fail
526,0,pass
527,5,fail
528,5,pass
529,4,pass
530,2,pass
531,0,pass
532,0,pass
533,2,pass
534,5,fail
535,5,fail
536,0,pass
537,2,pass
538,5,fail
539,0,pass
540,0,pass
541,0,pass
542,0,pass
543,1,pass
544,3,pass
545,2,pass
546,5,fail
547,0,pass
548,0,pass
549,0,pass
550,5,fail
551,0,pass
552,5,fail
553,4,pass
554,1,pass
555,0,pass
556,2,pass
557,0,pass
558,1,pass
559,1,pass
560,0,pass
561,5,fail
562,0,pass
563,0,pass
564,0,pass
565,0,pass
566,0,pass
567,0,pass
568,0,pass
569,0,pass
570,5,fail
571,5,fail
572,2,pass
573,5,fail
574,5,fail
575,5,fail
576,1,pass
577,0,pass
578,1,pass
579,1,pass
580,1,pass
581,0,pass
582,1,pass
583,0,pass
584,4,pass
585,5,pass
586,0,pass
587,1,pass
588,1,pass
589,0,pass
590,5,fail
591,0,pass
592,5,fail
593,0,pass
594,1,pass
595,5,pass
596,5,fail
597,1,pass
598,0,pass
599,0,pass
600,0,pass
601,5,fail
602,1,pass
603,5,fail
604,1,pass
605,0,pass
606,0,pass
607,1,pass
608,1,pass
609,5,fail
610,0,pass
611,3,pass
612,5,fail
613,0,pass
614,0,pass
615,5,fail
616,0,pass
617,5,fail
618,1,pass
619,0,pass
620,0,pass
621,0,pass
622,0,pass
623,1,pass
624,0,pass
625,0,pass
626,1,pass
627,1,pass
628,0,pass
629,0,pass
630,5,fail
631,1,pass
632,3,pass
633,5,fail
634,0,pass
635,2,pass
636,2,pass
637,0,pass
638,5,fail
639,1,pass
640,5,fail
641,2,pass
642,5,fail
643,4,pass
644,5,fail
645,0,pass
646,4,pass
647,1,pass
648,0,pass
649,1,pass
650,1,pass
651,0,pass
652,5,fail
653,0,pass
654,0,pass
655,0,pass
656,1,pass
657,0,pass
658,0,pass
659,5,pass
660,5,fail
661,3,pass
662,0,pass
663,5,fail
664,3,pass
665,0,pass
666,0,pass
667,0,pass
668,2,pass
669,1,pass
670,5,fail
671,4,pass
672,0,pass
673,1,pass
674,1,pass
675,0,pass
676,0,pass
677,0,pass
678,0,pass
679,1,pass
680,0,pass
681,0,pass
682,1,pass
683,0,pass
684,5,fail
685,0,pass
686,1,pass
687,0,pass
688,0,pass
689,0,pass
690,0,pass
691,0,pass
692,1,pass
693,0,pass
694,2,pass
695,0,pass
696,5,fail
697,0,pass
698,0,pass
699,1,pass
700,0,pass
701,0,pass
702,2,pass
703,0,pass
704,0,pass
705,0,pass
706,1,pass
707,0,pass
708,1,pass
709,5,fail
710,0,pass
711,0,pass
712,5,fail
713,1,pass
714,5,fail
715,1,pass
716,0,pass
717,2,pass
718,1,pass
719,1,pass
720,5,fail
721,3,pass
722,5,fail
723,0,pass
724,0,pass
725,0,pass
726,0,pass
727,0,pass
728,0,pass
729,1,pass
730,1,pass
731,5,fail
732,0,pass
733,1,pass
734,0,pass
735,0,pass
736,0,pass
737,2,pass
738,1,pass
739,1,pass
740,0,pass
741,0,pass
742,0,pass
743,5,fail
744,0,pass
745,0,pass
746,5,fail
747,1,pass
748,1,pass
749,1,pass
750,0,pass
751,0,pass
752,5,fail
753,1,pass
754,5,fail
755,1,pass
756,1,pass
757,5,fail
758,1,pass
759,0,pass
760,2,pass
761,5,fail
762,0,pass
763,0,pass
764,0,pass
765,5,fail
766,5,fail
767,1,pass
768,0,pass
769,3,pass
770,0,pass
771,0,pass
772,0,pass
773,5,fail
774,2,pass
775,0,pass
776,5,pass
777,5,fail
778,0,pass
779,1,pass
780,2,pass
781,0,pass
782,0,pass
783,5,fail
784,0,pass
785,0,pass
