task_id,fix_mode_attempt_count,status
1,5,fail
2,1,pass
3,0,pass
4,1,pass
5,5,fail
6,0,pass
7,0,pass
8,1,pass
9,3,pass
10,0,pass
11,0,pass
12,0,pass
13,5,fail
14,0,pass
15,5,fail
16,2,pass
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,0,pass
22,3,pass
23,0,pass
24,0,pass
25,0,pass
26,5,fail
27,1,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,5,fail
34,5,fail
35,2,pass
36,5,fail
37,0,pass
38,0,pass
39,5,fail
40,0,pass
41,1,pass
42,0,pass
43,2,pass
44,5,fail
45,0,pass
46,1,pass
47,0,pass
48,5,fail
49,0,pass
50,1,pass
51,5,fail
52,0,pass
53,1,pass
54,0,pass
55,0,pass
56,0,pass
57,1,pass
58,0,pass
59,0,pass
60,5,fail
61,3,pass
62,0,pass
63,0,pass
64,1,pass
65,0,pass
66,0,pass
67,2,pass
68,0,pass
69,1,pass
70,2,pass
71,0,pass
72,0,pass
73,0,pass
74,3,pass
75,3,pass
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,5,fail
84,0,pass
85,0,pass
86,0,pass
87,1,pass
88,0,pass
89,0,pass
90,1,pass
91,1,pass
92,2,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,0,pass
102,0,pass
103,0,pass
104,5,fail
105,0,pass
106,5,pass
107,5,fail
108,5,fail
109,0,pass
110,5,fail
111,0,pass
112,5,fail
113,0,pass
114,5,fail
115,1,pass
116,0,pass
117,2,pass
118,1,pass
119,5,fail
120,0,pass
121,0,pass
122,5,fail
123,0,pass
124,5,fail
125,0,pass
126,5,fail
127,0,pass
128,0,pass
129,0,pass
130,1,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,2,pass
138,5,fail
139,5,fail
140,5,pass
141,0,pass
142,0,pass
143,5,fail
144,0,pass
145,0,pass
146,5,fail
147,5,fail
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,5,fail
155,2,pass
156,0,pass
157,5,fail
158,1,pass
159,5,fail
160,5,fail
161,0,pass
162,0,pass
163,0,pass
164,0,pass
165,0,pass
166,1,pass
167,0,pass
168,0,pass
169,0,pass
170,4,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,2,pass
179,1,pass
180,5,fail
181,5,pass
182,5,fail
183,5,fail
184,5,fail
185,3,pass
186,3,pass
187,1,pass
188,5,fail
189,0,pass
190,5,fail
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,0,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,1,pass
201,1,pass
202,1,pass
203,0,pass
204,0,pass
205,5,fail
206,1,pass
207,0,pass
208,0,pass
209,4,pass
210,0,pass
211,0,pass
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,2,pass
218,5,fail
219,5,fail
220,0,pass
221,0,pass
222,0,pass
223,1,pass
224,0,pass
225,1,pass
226,0,pass
227,0,pass
228,5,fail
