task_id,fix_mode_attempt_count,status
1,8,pass
2,1,pass
3,0,pass
4,2,pass
5,9,fail
6,0,pass
7,0,pass
8,2,pass
9,0,pass
10,0,pass
11,0,pass
12,0,pass
13,9,fail
14,7,pass
15,9,fail
16,6,pass
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,1,pass
22,3,pass
23,0,pass
24,0,pass
25,0,pass
26,9,fail
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,9,fail
32,0,pass
33,9,fail
34,2,pass
35,3,pass
36,9,fail
37,2,pass
38,2,pass
39,9,fail
40,0,pass
41,2,pass
42,0,pass
43,2,pass
44,3,pass
45,1,pass
46,1,pass
47,1,pass
48,6,pass
49,0,pass
50,6,pass
51,2,pass
52,0,pass
53,2,pass
54,1,pass
55,9,fail
56,0,pass
57,2,pass
58,0,pass
59,0,pass
60,9,fail
61,0,pass
62,2,pass
63,0,pass
64,0,pass
65,2,pass
66,2,pass
67,9,pass
68,0,pass
69,3,pass
70,3,pass
71,1,pass
72,0,pass
73,0,pass
74,3,pass
75,3,pass
76,0,pass
77,9,fail
78,0,pass
79,0,pass
80,0,pass
81,9,fail
82,0,pass
83,9,fail
84,0,pass
85,0,pass
86,0,pass
87,9,fail
88,0,pass
89,0,pass
90,1,pass
91,0,pass
92,0,pass
93,0,pass
94,3,pass
95,0,pass
96,0,pass
97,2,pass
98,0,pass
99,0,pass
100,0,pass
101,5,pass
102,2,pass
103,1,pass
104,0,pass
105,0,pass
106,8,pass
107,6,pass
108,9,fail
109,1,pass
110,9,fail
111,8,pass
112,9,fail
113,0,pass
114,3,pass
115,0,pass
116,0,pass
117,9,fail
118,1,pass
119,1,pass
120,0,pass
121,0,pass
122,9,fail
123,0,pass
124,7,pass
125,3,pass
126,0,pass
127,0,pass
128,0,pass
129,1,pass
130,2,pass
131,0,pass
132,0,pass
133,0,pass
134,9,fail
135,0,pass
136,9,fail
137,2,pass
138,5,pass
139,9,fail
140,9,fail
141,1,pass
142,1,pass
143,9,fail
144,1,pass
145,0,pass
146,9,fail
147,3,pass
148,9,pass
149,1,pass
150,1,pass
151,0,pass
152,0,pass
153,0,pass
154,0,pass
155,5,pass
156,0,pass
157,3,pass
158,9,fail
159,9,fail
160,9,fail
161,2,pass
162,0,pass
163,0,pass
164,0,pass
165,0,pass
166,2,pass
167,0,pass
168,1,pass
169,0,pass
170,2,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,9,fail
178,6,pass
179,0,pass
180,9,fail
181,0,pass
182,5,pass
183,9,fail
184,9,fail
185,4,pass
186,3,pass
187,2,pass
188,9,fail
189,2,pass
190,3,pass
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,0,pass
196,1,pass
197,0,pass
198,9,fail
199,0,pass
200,0,pass
201,2,pass
202,0,pass
203,0,pass
204,0,pass
205,9,fail
206,0,pass
207,0,pass
208,0,pass
209,3,pass
210,0,pass
211,1,pass
212,0,pass
213,2,pass
214,0,pass
215,0,pass
216,9,fail
217,6,pass
218,9,fail
219,9,fail
220,9,pass
221,2,pass
222,0,pass
223,4,pass
