task_id,fix_mode_attempt_count,status,error_trace
0,1,pass,"[['TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError']]"
1,0,pass,[]
2,0,pass,[]
3,0,pass,[]
4,0,pass,[]
5,0,pass,[]
6,0,pass,[]
7,0,pass,[]
8,0,pass,[]
9,0,pass,[]
10,1,pass,"[['TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError']]"
11,0,pass,[]
12,5,fail,"[['FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError'], ['FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError'], ['FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError'], ['FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError'], ['FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError', 'FileNotFoundError']]"
13,5,fail,"[['UnknownError', 'UnknownError', 'AssertionError', 'AssertionError', 'AssertionError'], ['AssertionError', 'AssertionError', 'AssertionError', 'AssertionError'], ['AssertionError', 'AssertionError', 'AssertionError', 'AssertionError'], ['AssertionError', 'AssertionError', 'AssertionError', 'AssertionError'], ['AssertionError', 'AssertionError', 'AssertionError', 'AssertionError']]"
14,5,fail,"[['AssertionError'], ['AssertionError'], ['UnknownError', 'UnknownError', 'TypeError', 'UnknownError'], ['UnknownError', 'AttributeError', 'UnknownError', 'UnknownError'], ['AssertionError', 'AssertionError']]"
15,5,fail,"[['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError'], ['AssertionError', 'AssertionError']]"
16,0,pass,[]
17,5,fail,"[['ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError']]"
18,5,fail,"[['AssertionError', 'AssertionError', 'AssertionError'], ['NameError', 'NameError', 'NameError', 'NameError'], ['IsADirectoryError', 'IsADirectoryError', 'IsADirectoryError', 'AssertionError', 'IsADirectoryError'], ['IsADirectoryError', 'IsADirectoryError', 'AssertionError', 'IsADirectoryError', 'IsADirectoryError'], ['FileNotFoundError', 'IsADirectoryError', 'AssertionError', 'IsADirectoryError', 'FileNotFoundError', 'IsADirectoryError', 'FileNotFoundError', 'IsADirectoryError']]"
19,5,fail,"[['AssertionError', 'KeyError'], ['KeyError'], ['KeyError'], ['KeyError'], ['KeyError']]"
20,1,pass,"[['AttributeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError', 'TypeError']]"
21,0,pass,[]
22,0,pass,[]
23,0,pass,[]
24,0,pass,[]
25,0,pass,[]
26,5,fail,"[['ValueError', 'ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'ValueError', 'ValueError'], ['ValueError', 'ValueError', 'NameError', 'ValueError', 'ValueError'], ['AssertionError', 'ValueError', 'ValueError', 'ValueError', 'ValueError']]"
27,0,pass,[]
28,1,pass,[['AssertionError']]
