task_id,fix_mode_attempt_count,status
HumanEval/0,0,pass
HumanEval/1,2,pass
HumanEval/2,0,pass
HumanEval/3,1,pass
HumanEval/4,0,pass
HumanEval/5,3,pass
HumanEval/6,0,pass
HumanEval/7,0,pass
HumanEval/8,0,pass
HumanEval/9,0,pass
HumanEval/10,1,pass
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,1,pass
HumanEval/18,0,pass
HumanEval/19,0,pass
HumanEval/20,3,pass
HumanEval/21,1,pass
HumanEval/22,0,pass
HumanEval/23,0,pass
HumanEval/24,0,pass
HumanEval/25,0,pass
HumanEval/26,2,pass
HumanEval/27,0,pass
HumanEval/28,0,pass
HumanEval/29,0,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,4,pass
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,5,pass
HumanEval/38,5,fail
HumanEval/39,0,pass
HumanEval/40,0,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,0,pass
HumanEval/44,1,pass
HumanEval/45,0,pass
HumanEval/46,5,fail
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,5,fail
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,2,pass
HumanEval/55,1,pass
HumanEval/56,1,pass
HumanEval/57,0,pass
HumanEval/58,0,pass
HumanEval/59,0,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,0,pass
HumanEval/63,0,pass
HumanEval/64,0,pass
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,0,pass
HumanEval/68,0,pass
HumanEval/69,0,pass
HumanEval/70,0,pass
HumanEval/71,0,pass
HumanEval/72,0,pass
HumanEval/73,2,pass
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,1,pass
HumanEval/77,1,pass
HumanEval/78,4,pass
HumanEval/79,0,pass
HumanEval/80,2,pass
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,4,pass
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,0,pass
HumanEval/88,0,pass
HumanEval/89,0,pass
HumanEval/90,1,pass
HumanEval/91,5,fail
HumanEval/92,0,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,3,pass
HumanEval/96,0,pass
HumanEval/97,0,pass
HumanEval/98,4,pass
HumanEval/99,5,fail
HumanEval/100,1,pass
HumanEval/101,2,pass
HumanEval/102,0,pass
HumanEval/103,3,pass
HumanEval/104,0,pass
HumanEval/105,0,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,3,pass
HumanEval/109,5,pass
HumanEval/110,1,pass
HumanEval/111,0,pass
HumanEval/112,0,pass
HumanEval/113,2,pass
HumanEval/114,0,pass
HumanEval/115,3,pass
HumanEval/116,0,pass
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,3,pass
HumanEval/120,5,fail
HumanEval/121,0,pass
HumanEval/122,1,pass
HumanEval/123,2,pass
HumanEval/124,1,pass
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,1,pass
HumanEval/128,2,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,0,pass
HumanEval/136,2,pass
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,0,pass
HumanEval/140,5,fail
HumanEval/141,5,fail
HumanEval/142,2,pass
HumanEval/143,0,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,0,pass
HumanEval/147,0,pass
HumanEval/148,3,pass
HumanEval/149,0,pass
HumanEval/150,0,pass
HumanEval/151,1,pass
HumanEval/152,0,pass
HumanEval/153,0,pass
HumanEval/154,0,pass
HumanEval/155,0,pass
HumanEval/156,1,pass
HumanEval/157,1,pass
HumanEval/158,0,pass
HumanEval/159,5,fail
HumanEval/160,5,fail
HumanEval/161,0,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
