task_id,fix_mode_attempt_count,status
HumanEval/0,2,pass
HumanEval/1,5,fail
HumanEval/2,0,pass
HumanEval/3,2,pass
HumanEval/4,4,pass
HumanEval/5,2,pass
HumanEval/6,5,fail
HumanEval/7,2,pass
HumanEval/8,2,pass
HumanEval/9,2,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,2,pass
HumanEval/13,0,pass
HumanEval/14,2,pass
HumanEval/15,0,pass
HumanEval/16,0,pass
HumanEval/17,5,fail
HumanEval/18,1,pass
HumanEval/19,5,fail
HumanEval/20,5,fail
HumanEval/21,2,pass
HumanEval/22,5,fail
HumanEval/23,0,pass
HumanEval/24,0,pass
HumanEval/25,2,pass
HumanEval/26,5,fail
HumanEval/27,0,pass
HumanEval/28,2,pass
HumanEval/29,2,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,5,fail
HumanEval/34,0,pass
HumanEval/35,0,pass
HumanEval/36,5,fail
HumanEval/37,1,pass
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,2,pass
HumanEval/41,5,fail
HumanEval/42,0,pass
HumanEval/43,1,pass
HumanEval/44,0,pass
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,0,pass
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,0,pass
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,0,pass
HumanEval/55,1,pass
HumanEval/56,0,pass
HumanEval/57,5,fail
HumanEval/58,0,pass
HumanEval/59,5,pass
HumanEval/60,0,pass
HumanEval/61,0,pass
HumanEval/62,5,fail
HumanEval/63,0,pass
HumanEval/64,5,fail
HumanEval/65,5,fail
HumanEval/66,0,pass
HumanEval/67,5,pass
HumanEval/68,1,pass
HumanEval/69,5,fail
HumanEval/70,5,fail
HumanEval/71,2,pass
HumanEval/72,1,pass
HumanEval/73,1,pass
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,1,pass
HumanEval/78,5,fail
HumanEval/79,4,pass
HumanEval/80,0,pass
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,5,fail
HumanEval/84,5,fail
HumanEval/85,0,pass
HumanEval/86,0,pass
HumanEval/87,5,fail
HumanEval/88,2,pass
HumanEval/89,3,pass
HumanEval/90,4,pass
HumanEval/91,1,pass
HumanEval/92,4,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,5,fail
HumanEval/96,1,pass
HumanEval/97,0,pass
HumanEval/98,5,fail
HumanEval/99,5,fail
HumanEval/100,5,fail
HumanEval/101,3,pass
HumanEval/102,2,pass
HumanEval/103,1,pass
HumanEval/104,2,pass
HumanEval/105,3,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,5,fail
HumanEval/109,5,fail
HumanEval/110,0,pass
HumanEval/111,5,fail
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,5,fail
HumanEval/115,5,fail
HumanEval/116,5,pass
HumanEval/117,3,pass
HumanEval/118,5,fail
HumanEval/119,2,pass
HumanEval/120,5,fail
HumanEval/121,0,pass
HumanEval/122,0,pass
HumanEval/123,0,pass
HumanEval/124,0,pass
HumanEval/125,5,fail
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,5,fail
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,5,fail
HumanEval/132,5,fail
HumanEval/133,3,pass
HumanEval/134,5,fail
HumanEval/135,5,fail
HumanEval/136,3,pass
HumanEval/137,5,fail
HumanEval/138,5,fail
HumanEval/139,4,pass
HumanEval/140,5,fail
HumanEval/141,2,pass
HumanEval/142,5,fail
HumanEval/143,0,pass
HumanEval/144,1,pass
HumanEval/145,5,fail
HumanEval/146,5,fail
HumanEval/147,0,pass
HumanEval/148,5,fail
HumanEval/149,4,pass
HumanEval/150,1,pass
HumanEval/151,0,pass
HumanEval/152,0,pass
HumanEval/153,5,fail
HumanEval/154,1,pass
HumanEval/155,0,pass
HumanEval/156,5,fail
HumanEval/157,0,pass
HumanEval/158,5,fail
HumanEval/159,1,pass
HumanEval/160,0,pass
HumanEval/161,3,pass
HumanEval/162,1,pass
HumanEval/163,5,fail
