task_id,fix_mode_attempt_count,status
1,5,fail
2,0,pass
3,2,pass
4,0,pass
5,5,fail
6,0,pass
7,0,pass
8,0,pass
9,1,pass
10,0,pass
11,2,pass
12,0,pass
13,5,fail
14,0,pass
15,5,fail
16,5,fail
17,0,pass
18,0,pass
19,0,pass
20,5,fail
21,0,pass
22,0,pass
23,0,pass
24,1,pass
25,5,fail
26,5,fail
27,0,pass
28,2,pass
29,5,fail
30,0,pass
31,5,fail
32,1,pass
33,5,fail
34,5,fail
35,1,pass
36,5,fail
37,0,pass
38,5,fail
39,5,fail
40,0,pass
41,0,pass
42,0,pass
43,5,fail
44,3,pass
45,0,pass
46,0,pass
47,5,fail
48,5,fail
49,0,pass
50,1,pass
51,0,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,5,fail
58,0,pass
59,0,pass
60,5,fail
61,5,fail
62,0,pass
63,0,pass
64,0,pass
65,0,pass
66,1,pass
67,0,pass
68,0,pass
69,0,pass
70,5,fail
71,0,pass
72,2,pass
73,5,fail
74,1,pass
75,5,fail
76,5,fail
77,5,fail
78,1,pass
79,0,pass
80,1,pass
81,1,pass
82,5,fail
83,5,fail
84,0,pass
85,5,fail
86,0,pass
87,4,pass
88,1,pass
89,0,pass
90,0,pass
91,0,pass
92,5,fail
93,0,pass
94,2,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,5,fail
100,1,pass
101,1,pass
102,5,fail
103,5,fail
104,5,fail
105,5,fail
106,0,pass
107,5,fail
108,5,fail
109,5,fail
110,5,fail
111,0,pass
112,5,fail
113,0,pass
114,5,fail
115,0,pass
116,0,pass
117,5,fail
118,2,pass
119,5,fail
120,1,pass
121,5,fail
122,5,fail
123,5,fail
124,5,fail
125,5,fail
126,5,fail
127,0,pass
128,0,pass
129,0,pass
130,2,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,2,pass
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,5,fail
143,1,pass
144,5,fail
145,5,fail
146,5,fail
147,5,fail
148,5,fail
149,5,fail
150,5,fail
151,0,pass
152,0,pass
153,1,pass
154,1,pass
155,5,fail
156,0,pass
157,3,pass
158,5,fail
159,5,fail
160,5,fail
161,0,pass
162,0,pass
163,3,pass
164,0,pass
165,0,pass
166,5,fail
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,5,fail
176,0,pass
177,3,pass
178,3,pass
179,0,pass
180,5,fail
181,5,fail
182,5,pass
183,5,fail
184,5,fail
185,5,fail
186,5,pass
187,1,pass
188,5,fail
189,5,fail
190,5,fail
191,2,pass
192,0,pass
193,4,pass
194,5,fail
195,5,fail
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,0,pass
203,0,pass
204,0,pass
205,2,pass
206,1,pass
207,0,pass
208,3,pass
209,5,fail
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,5,fail
218,5,fail
219,5,fail
220,5,fail
221,1,pass
222,0,pass
223,5,fail
224,0,pass
225,5,fail
226,0,pass
227,0,pass
228,5,fail
229,5,fail
230,0,pass
