task_id,fix_mode_attempt_count,status
1,4,pass
2,1,pass
3,0,pass
4,0,pass
5,5,pass
6,0,pass
7,0,pass
8,0,pass
9,0,pass
10,0,pass
11,0,pass
12,0,pass
13,3,pass
14,0,pass
15,5,fail
16,3,pass
17,0,pass
18,0,pass
19,0,pass
20,0,pass
21,2,pass
22,1,pass
23,0,pass
24,0,pass
25,0,pass
26,1,pass
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,1,pass
34,0,pass
35,0,pass
36,0,pass
37,0,pass
38,1,pass
39,1,pass
40,0,pass
41,0,pass
42,0,pass
43,2,pass
44,3,pass
45,0,pass
46,0,pass
47,1,pass
48,0,pass
49,0,pass
50,1,pass
51,0,pass
52,0,pass
53,1,pass
54,3,pass
55,5,fail
56,0,pass
57,0,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,0,pass
63,0,pass
64,0,pass
65,0,pass
66,0,pass
67,0,pass
68,0,pass
69,0,pass
70,2,pass
71,0,pass
72,2,pass
73,1,pass
74,0,pass
75,1,pass
76,0,pass
77,5,fail
78,0,pass
79,0,pass
80,0,pass
81,1,pass
82,0,pass
83,5,pass
84,0,pass
85,0,pass
86,0,pass
87,1,pass
88,1,pass
89,0,pass
90,0,pass
91,0,pass
92,0,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,5,fail
102,1,pass
103,0,pass
104,1,pass
105,0,pass
106,1,pass
107,4,pass
108,3,pass
109,0,pass
110,5,fail
111,0,pass
112,5,pass
113,0,pass
114,2,pass
115,0,pass
116,0,pass
117,3,pass
118,1,pass
119,0,pass
120,3,pass
121,5,fail
122,5,fail
123,0,pass
124,4,pass
125,0,pass
126,0,pass
127,0,pass
128,0,pass
129,0,pass
130,1,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,1,pass
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,0,pass
143,1,pass
144,0,pass
145,0,pass
146,2,pass
147,2,pass
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,0,pass
155,0,pass
156,0,pass
157,1,pass
158,5,fail
159,2,pass
160,4,pass
161,0,pass
162,0,pass
163,2,pass
164,0,pass
165,0,pass
166,0,pass
167,0,pass
168,0,pass
169,0,pass
170,0,pass
171,0,pass
172,0,pass
173,0,pass
174,0,pass
175,0,pass
176,0,pass
177,5,fail
178,2,pass
179,0,pass
180,5,fail
181,4,pass
182,5,fail
183,5,fail
184,5,fail
185,0,pass
186,3,pass
187,0,pass
188,5,fail
189,0,pass
190,2,pass
191,0,pass
192,0,pass
193,1,pass
194,0,pass
195,2,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,4,pass
206,1,pass
207,0,pass
208,0,pass
209,2,pass
210,0,pass
211,5,fail
212,0,pass
213,0,pass
214,0,pass
215,0,pass
216,5,fail
217,1,pass
218,5,fail
219,2,pass
220,3,pass
221,0,pass
222,0,pass
223,0,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,3,pass
229,5,fail
230,0,pass
231,0,pass
232,0,pass
233,5,fail
234,0,pass
235,5,fail
236,5,fail
237,5,pass
238,0,pass
239,5,fail
240,0,pass
241,2,pass
242,0,pass
243,1,pass
244,1,pass
245,0,pass
246,0,pass
247,1,pass
248,5,pass
249,0,pass
