Model,Dataset,Tokens,Average_tokens_per_problem,Average_attempts_per_problem
gpt35,humaneval,69502.33333333333,423.79471544715443,2.0548780487804876
gpt35,humaneval_et,75263.66666666667,458.9247967479675,2.1016260162601625
gpt35,mbpp,432144.0,443.6796714579055,2.4637234770705
gpt35,mbpp_et,671316.3333333334,689.2364818617385,3.223477070499658
gpt4,humaneval,79342.5,483.79573170731703,1.3475609756097562
gpt4,humaneval_et,82214.0,501.30487804878044,1.36890243902439
gpt4,mbpp,779440.3333333334,800.2467488021903,2.033196440793977
gpt4,mbpp_et,1044909.3333333334,1072.8021902806297,2.786789869952088
qwen,bigcode,1960864.0,1720.056140350877,3.1511695906432746
qwen,humaneval,70868.66666666667,432.12601626016266,1.6016260162601625
qwen,humaneval_et,74151.33333333333,452.14227642276427,1.6138211382113823
qwen,mbpp,646635.6666666666,663.8969883641342,2.5441478439425054
qwen,mbpp_et,832728.0,854.9568788501027,3.305954825462012
