task_id,fix_mode_attempt_count,status
1,5,fail
2,0,pass
3,0,pass
4,2,pass
5,5,fail
6,0,pass
7,0,pass
8,1,pass
9,3,pass
10,0,pass
11,0,pass
12,0,pass
13,5,pass
14,0,pass
15,5,fail
16,3,pass
17,0,pass
18,0,pass
19,1,pass
20,0,pass
21,0,pass
22,2,pass
23,1,pass
24,0,pass
25,0,pass
26,5,fail
27,0,pass
28,0,pass
29,0,pass
30,0,pass
31,5,fail
32,0,pass
33,5,pass
34,5,fail
35,5,fail
36,5,fail
37,0,pass
38,1,pass
39,3,pass
40,0,pass
41,1,pass
42,0,pass
43,1,pass
44,2,pass
45,0,pass
46,1,pass
47,0,pass
48,0,pass
49,0,pass
50,5,pass
51,1,pass
52,0,pass
53,1,pass
54,0,pass
55,5,fail
56,0,pass
57,1,pass
58,0,pass
59,0,pass
60,5,fail
61,0,pass
62,1,pass
63,0,pass
64,0,pass
65,1,pass
66,0,pass
67,0,pass
68,0,pass
69,2,pass
70,4,pass
71,0,pass
72,1,pass
73,5,fail
74,2,pass
75,2,pass
76,0,pass
77,5,fail
78,1,pass
79,0,pass
80,0,pass
81,5,fail
82,0,pass
83,3,pass
84,0,pass
85,0,pass
86,0,pass
87,2,pass
88,0,pass
89,0,pass
90,1,pass
91,1,pass
92,3,pass
93,0,pass
94,1,pass
95,0,pass
96,0,pass
97,0,pass
98,0,pass
99,0,pass
100,0,pass
101,5,fail
102,1,pass
103,5,fail
104,1,pass
105,1,pass
106,1,pass
107,5,fail
108,5,fail
109,0,pass
110,5,fail
111,1,pass
112,2,pass
113,0,pass
114,1,pass
115,0,pass
116,0,pass
117,5,fail
118,1,pass
119,0,pass
120,0,pass
121,5,pass
122,5,fail
123,0,pass
124,5,fail
125,5,fail
126,5,fail
127,0,pass
128,0,pass
129,0,pass
130,0,pass
131,0,pass
132,0,pass
133,0,pass
134,5,fail
135,0,pass
136,5,fail
137,1,pass
138,5,fail
139,5,fail
140,5,fail
141,0,pass
142,5,fail
143,5,fail
144,0,pass
145,0,pass
146,2,pass
147,5,fail
148,5,fail
149,0,pass
150,5,fail
151,0,pass
152,0,pass
153,0,pass
154,5,fail
155,1,pass
156,0,pass
157,5,fail
158,5,fail
159,5,fail
160,5,fail
161,1,pass
162,0,pass
163,0,pass
164,5,fail
165,0,pass
166,1,pass
167,5,fail
168,0,pass
169,0,pass
170,1,pass
171,0,pass
172,0,pass
173,0,pass
174,1,pass
175,5,fail
176,0,pass
177,5,fail
178,2,pass
179,0,pass
180,5,fail
181,1,pass
182,5,fail
183,5,fail
184,3,pass
185,0,pass
186,1,pass
187,1,pass
188,5,fail
189,1,pass
190,5,fail
191,0,pass
192,0,pass
193,0,pass
194,0,pass
195,1,pass
196,0,pass
197,0,pass
198,5,fail
199,0,pass
200,0,pass
201,0,pass
202,1,pass
203,0,pass
204,0,pass
205,5,fail
206,4,pass
207,0,pass
208,0,pass
209,3,pass
210,0,pass
211,4,pass
212,0,pass
213,1,pass
214,0,pass
215,0,pass
216,5,fail
217,2,pass
218,5,fail
219,5,fail
220,5,fail
221,0,pass
222,0,pass
223,4,pass
224,0,pass
225,0,pass
226,0,pass
227,0,pass
228,5,fail
229,5,fail
230,0,pass
