Model,Dataset,Experiment,Tokens,Average_attempts_per_problem
qwen,bigcode,e2,1864580,3.174561403508772
qwen,bigcode,e1,1995857,3.148245614035088
qwen,bigcode,e3,2022155,3.130701754385965
qwen,mbpp_et,e2,836567,3.324435318275154
qwen,mbpp_et,e1,826968,3.299794661190965
qwen,mbpp_et,e3,834649,3.293634496919918
qwen,mbpp,e2,657070,2.5318275154004106
qwen,mbpp,e1,648003,2.5739219712525667
qwen,mbpp,e3,634834,2.526694045174538
qwen,humaneval_et,e2,75908,1.5975609756097562
qwen,humaneval_et,e1,72679,1.6097560975609757
qwen,humaneval_et,e3,73867,1.6341463414634145
qwen,humaneval,e2,72742,1.6280487804878048
qwen,humaneval,e1,69789,1.6280487804878048
qwen,humaneval,e3,70075,1.548780487804878
gpt4,mbpp_et,e2,1070018,2.8254620123203287
gpt4,mbpp_et,e1,1052651,2.793634496919918
gpt4,mbpp_et,e3,1012059,2.7412731006160165
gpt4,mbpp,e2,845000,2.0143737166324436
gpt4,mbpp,e1,761078,2.078028747433265
gpt4,mbpp,e3,732243,2.0071868583162216
gpt4,humaneval_et,e2,77422,1.3231707317073171
gpt4,humaneval_et,e1,87006,1.4146341463414633
gpt4,humaneval,e1,78077,1.3170731707317074
gpt4,humaneval,e3,80608,1.3780487804878048
gpt35,mbpp_et,e2,663238,3.2073921971252566
gpt35,mbpp_et,e1,675031,3.217659137577002
gpt35,mbpp_et,e3,675680,3.2453798767967146
gpt35,mbpp,e2,424993,2.453798767967146
gpt35,mbpp,e1,449166,2.4876796714579057
gpt35,mbpp,e3,422273,2.4496919917864477
gpt35,humaneval_et,e2,75148,2.0609756097560976
gpt35,humaneval_et,e1,75607,2.1463414634146343
gpt35,humaneval_et,e3,75036,2.097560975609756
gpt35,humaneval,e2,71765,2.091463414634146
gpt35,humaneval,e1,67984,2.091463414634146
gpt35,humaneval,e3,68758,1.9817073170731707
